VOC_Date	WeeklyCases	InfectionProp	InfectionGroup	AntigenicDistanceT1	NTD	RBD	SpikeOther	VOC	Date
Alpha_44353	1562650.217	0.926524643	B75100	0.054490962	0.022744849	0.007274935	0.024471178	Alpha	2021-06-06
Alpha_44360	1225371.038	0.946318771	B75100	0.064431646	0.0315853	0.007646498	0.025199848	Alpha	2021-06-13
Alpha_44367	976889.9714	0.962099041	B75100	0.067747732	0.028750131	0.008736289	0.030261313	Alpha	2021-06-20
Alpha_44374	638477.4801	0.972412738	B75100	0.070930108	0.030449176	0.011166858	0.029314073	Alpha	2021-06-27
Alpha_44381	443679.1348	0.979579744	B75100	0.080591625	0.035304632	0.011262027	0.034024965	Alpha	2021-07-04
Alpha_44388	364454.6588	0.985466991	B75100	0.082766436	0.035482074	0.009948755	0.037335607	Alpha	2021-07-11
Alpha_44395	286378.8467	0.990093034	B75100	0.079951165	0.034545573	0.011561969	0.033843623	Alpha	2021-07-18
Alpha_44402	193334.5158	0.993216079	B75100	0.085704846	0.040953427	0.010470826	0.034280592	Alpha	2021-07-25
Alpha_44409	142277.7244	0.995514373	B75100	0.082441414	0.038190792	0.013533413	0.030717209	Alpha	2021-08-01
Alpha_44416	69988.3733	0.996644936	B75100	0.09159675	0.042647265	0.011554237	0.037395248	Alpha	2021-08-08
Alpha_44423	122153.2379	0.998618148	B75100	0.1590241	0.060548561	0.017620952	0.080854587	Alpha	2021-08-15
Alpha_44430	29414.83687	0.999093303	B75100	0.205139924	0.076478758	0.016721601	0.111939564	Alpha	2021-08-22
BA.1_44528	15712.02609	0.000257359	A075	0	0	0	0	BA.1	2021-11-28
BA.1_44535	34993.00086	0.000508679	A075	0.125485875	0.014420564	0.089385402	0.021679909	BA.1	2021-12-05
BA.1_44542	174384.8092	0.001761116	A075	0.087736198	0.022511039	0.050520483	0.014704677	BA.1	2021-12-12
BA.1_44549	951461.2431	0.00859454	A075	0.131511838	0.021381615	0.095678346	0.014451877	BA.1	2021-12-19
BA.1_44556	3477108.286	0.033567238	A075	0.077660773	0.00884949	0.056564364	0.012246919	BA.1	2021-12-26
BA.1_44563	7860218.603	0.090019569	A075	0.090345209	0.009376914	0.071153323	0.009814973	BA.1	2022-01-02
BA.1_44570	13102201.59	0.184119982	A075	0.097784228	0.009977583	0.075837881	0.011968764	BA.1	2022-01-09
BA.1_44577	18125841.37	0.31430033	A075	0.091622121	0.009645144	0.065226496	0.016750482	BA.1	2022-01-16
BA.1_44584	20132852.87	0.458895095	A075	0.055271975	0.006723241	0.038248358	0.010300376	BA.1	2022-01-23
BA.1_44591	19533806.75	0.599187494	A075	0.052707009	0.009172449	0.032556815	0.010977745	BA.1	2022-01-30
BA.1_44598	16244804.81	0.715858179	A075	0.045990727	0.006861457	0.031008484	0.008120786	BA.1	2022-02-06
BA.1_44605	12397499.16	0.804897398	B75100	0.039325645	0.008192737	0.02021286	0.010920048	BA.1	2022-02-13
BA.1_44612	8410419.299	0.865301287	B75100	0.040623779	0.008749548	0.020592163	0.011282068	BA.1	2022-02-20
BA.1_44619	6019320.727	0.908532232	B75100	0.043511129	0.007629958	0.02300086	0.01288031	BA.1	2022-02-27
BA.1_44626	4166962.918	0.938459488	B75100	0.050862792	0.010938661	0.027021799	0.012902332	BA.1	2022-03-06
BA.1_44633	3074861.927	0.96054324	B75100	0.040762767	0.010684312	0.017141111	0.012937344	BA.1	2022-03-13
BA.1_44640	1990573.552	0.9748396	B75100	0.047002754	0.014437349	0.017310256	0.015255149	BA.1	2022-03-20
BA.1_44647	1351211.448	0.984544042	B75100	0.059357004	0.019111024	0.02141075	0.018835229	BA.1	2022-03-27
BA.1_44654	889983.7683	0.990935933	B75100	0.057290978	0.021516353	0.015595095	0.020179531	BA.1	2022-04-03
BA.1_44661	580999.4771	0.995108689	B75100	0.071924047	0.021158112	0.025184782	0.025581152	BA.1	2022-04-10
BA.1_44668	279300.7536	0.997114636	B75100	0.074675363	0.028108952	0.020007238	0.026559174	BA.1	2022-04-17
BA.1_44675	135070.9889	0.99808472	B75100	0.109829569	0.043928882	0.031445618	0.034455069	BA.1	2022-04-24
BA.1_44682	74292.21203	0.998618288	B75100	0.135508698	0.042564452	0.050077297	0.042866949	BA.1	2022-05-01
BA.1_44689	43862.12786	0.998933308	B75100	0.178721315	0.047942786	0.077351418	0.05342711	BA.1	2022-05-08
BA.1_44696	43806.10331	0.999247924	B75100	0.226531934	0.048812998	0.122797764	0.054921172	BA.1	2022-05-15
BA.2_44549	8382.652772	0.000120881	A075	0	0	0	0	BA.2	2021-12-19
BA.2_44556	48448.22838	0.000539977	A075	0.413450119	0.133687424	0.230494908	0.049267788	BA.2	2021-12-26
BA.2_44563	250633.1146	0.002708052	A075	0.729568273	0.224919242	0.428819512	0.07582952	BA.2	2022-01-02
BA.2_44570	706526.7205	0.008819786	A075	0.3021874	0.0845775	0.172780769	0.044829131	BA.2	2022-01-09
BA.2_44577	1117159.695	0.018483656	A075	0.264699927	0.075363736	0.141320413	0.048015778	BA.2	2022-01-16
BA.2_44584	1926254.905	0.035146518	A075	0.135191155	0.039396065	0.068135248	0.027659842	BA.2	2022-01-23
BA.2_44591	2498711.279	0.056761353	A075	0.064569348	0.015993962	0.028213919	0.020361467	BA.2	2022-01-30
BA.2_44598	3355478.188	0.085787558	A075	0.059481052	0.012545199	0.029759116	0.017176737	BA.2	2022-02-06
BA.2_44605	3739522.349	0.118135895	A075	0.052444093	0.009488991	0.030642939	0.012312164	BA.2	2022-02-13
BA.2_44612	4756414.182	0.159280747	A075	0.061241333	0.006140198	0.04355528	0.011545854	BA.2	2022-02-20
BA.2_44619	5390288.933	0.205908865	A075	0.029117813	0.007724877	0.01080357	0.010589366	BA.2	2022-02-27
BA.2_44626	6844421.429	0.265115799	A075	0.032071557	0.006773035	0.015670618	0.009627903	BA.2	2022-03-06
BA.2_44633	8385686.961	0.337655287	A075	0.021498358	0.004300607	0.007587087	0.009610663	BA.2	2022-03-13
BA.2_44640	9579877.971	0.420524996	A075	0.019262825	0.005549449	0.005355515	0.008357861	BA.2	2022-03-20
BA.2_44647	9450815.443	0.502278263	A075	0.023354776	0.005719316	0.007245637	0.010389824	BA.2	2022-03-27
BA.2_44654	8217975.119	0.573366977	A075	0.027906655	0.005910293	0.009600889	0.012395474	BA.2	2022-04-03
BA.2_44661	6762558.341	0.631865764	A075	0.050035674	0.009128539	0.0202757	0.020631435	BA.2	2022-04-10
BA.2_44668	5507916.294	0.679511404	A075	0.041209779	0.009377725	0.01524307	0.016588984	BA.2	2022-04-17
BA.2_44675	4554080.443	0.71890599	A075	0.038212392	0.008015586	0.015072956	0.01512385	BA.2	2022-04-24
BA.2_44682	3836623.916	0.752094294	B75100	0.060173439	0.008156264	0.028384985	0.023632189	BA.2	2022-05-01
BA.2_44689	3476386.934	0.782166407	B75100	0.063779896	0.00993806	0.027681769	0.026160067	BA.2	2022-05-08
BA.2_44696	3203344.738	0.809876598	B75100	0.060475268	0.010940257	0.026210331	0.023324681	BA.2	2022-05-15
BA.2_44703	2949894.106	0.835394341	B75100	0.074416515	0.011516658	0.035600161	0.027299696	BA.2	2022-05-22
BA.2_44710	2564774.308	0.857580647	B75100	0.06762052	0.011793779	0.028687231	0.02713951	BA.2	2022-05-29
BA.2_44717	2221755.106	0.876799702	B75100	0.062129023	0.012986078	0.029858735	0.019284211	BA.2	2022-06-05
BA.2_44724	1994294.289	0.894051131	B75100	0.057835127	0.012787712	0.023700768	0.021346648	BA.2	2022-06-12
BA.2_44731	1686703.023	0.908641775	B75100	0.064874396	0.018646791	0.029904808	0.016322796	BA.2	2022-06-19
BA.2_44738	1370159.924	0.920494197	B75100	0.066806066	0.017130789	0.032150163	0.017525115	BA.2	2022-06-26
BA.2_44745	1144364.571	0.9303934	B75100	0.060273675	0.016784274	0.02165878	0.021830621	BA.2	2022-07-03
BA.2_44752	953668.2802	0.938643005	B75100	0.089518225	0.021043987	0.042890732	0.025583506	BA.2	2022-07-10
BA.2_44759	719205.4569	0.944864415	B75100	0.096040462	0.032706526	0.03973992	0.023594017	BA.2	2022-07-17
BA.2_44766	486359.4171	0.949071615	B75100	0.138234963	0.057679794	0.052522583	0.028032586	BA.2	2022-07-24
BA.2_44773	311802.407	0.951768828	B75100	0.253964408	0.095777037	0.119387578	0.038799793	BA.2	2022-07-31
BA.2_44780	197493.0624	0.953477221	B75100	0.283209761	0.114106166	0.129217091	0.039886505	BA.2	2022-08-07
BA.2_44787	135250.5657	0.954647191	B75100	0.636904061	0.247446425	0.317875984	0.071581651	BA.2	2022-08-14
BA.2_44794	92761.85878	0.955449618	B75100	0.706725247	0.281635272	0.343401357	0.081688618	BA.2	2022-08-21
BA.2_44801	73992.87202	0.956089685	B75100	0.801134171	0.294834121	0.422019436	0.084280615	BA.2	2022-08-28
BA.2_44808	55488.1386	0.95656968	B75100	0.59798096	0.230283265	0.291796221	0.075901473	BA.2	2022-09-04
BA.2_44815	57407.29637	0.957066275	B75100	0.628130142	0.191479338	0.361981398	0.074669406	BA.2	2022-09-11
BA.2_44822	64457.23098	0.957623856	B75100	0.687407977	0.246608237	0.361261421	0.079538318	BA.2	2022-09-18
BA.2_44829	72774.94897	0.958253388	B75100	0.366420564	0.118719254	0.192596052	0.055105258	BA.2	2022-09-25
BA.2_44836	80881.03344	0.95895304	B75100	0.433141235	0.173637191	0.213882703	0.045621341	BA.2	2022-10-02
BA.2_44843	99067.52515	0.959810013	B75100	0.276000559	0.099781077	0.132839343	0.043380139	BA.2	2022-10-09
BA.2_44850	104175.556	0.960711173	B75100	0.279134862	0.103317151	0.122000706	0.053817005	BA.2	2022-10-16
BA.2_44857	109970.1533	0.961662458	B75100	0.369175154	0.133127385	0.19023903	0.04580874	BA.2	2022-10-23
BA.2_44864	111676.2884	0.962628502	B75100	0.242470723	0.069339419	0.133068764	0.04006254	BA.2	2022-10-30
BA.2_44871	123689.2839	0.963698463	B75100	0.261747062	0.08695819	0.134435792	0.040353081	BA.2	2022-11-06
BA.2_44878	135353.9181	0.964869327	B75100	0.187960438	0.045697185	0.098473223	0.04379003	BA.2	2022-11-13
BA.2_44885	174700.0832	0.966380552	B75100	0.299576746	0.113606519	0.147647071	0.038323156	BA.2	2022-11-20
BA.2_44892	195323.835	0.968070179	B75100	0.318404011	0.112018882	0.172188856	0.034196273	BA.2	2022-11-27
BA.2_44899	223676.5415	0.970005069	B75100	0.205427832	0.069914081	0.097855545	0.037658206	BA.2	2022-12-04
BA.2_44906	284353.5476	0.972464839	B75100	0.15785572	0.045717375	0.078197393	0.033940953	BA.2	2022-12-11
BA.2_44913	325206.5979	0.975278004	B75100	0.304017919	0.094497062	0.177179423	0.032341434	BA.2	2022-12-18
BA.2_44920	321358.3946	0.978057881	B75100	0.138048082	0.063587004	0.045752986	0.028708091	BA.2	2022-12-25
BA.2_44927	336027.8261	0.980964653	B75100	0.21468666	0.083990754	0.095990964	0.034704942	BA.2	2023-01-01
BA.2_44934	327256.9424	0.983795554	B75100	0.241200641	0.062638044	0.141639267	0.036923329	BA.2	2023-01-08
BA.2_44941	272347.4095	0.986151467	B75100	0.15215502	0.041552408	0.069126007	0.041476606	BA.2	2023-01-15
BA.2_44948	201008.6505	0.98789027	B75100	0.180926069	0.068817413	0.072244919	0.039863736	BA.2	2023-01-22
BA.2_44955	165652.2576	0.989323228	B75100	0.181105107	0.056118137	0.082997938	0.041989032	BA.2	2023-01-29
BA.2_44962	143849.5283	0.990567582	B75100	0.217897264	0.063375403	0.109596761	0.044925099	BA.2	2023-02-05
BA.2_44969	124445.6909	0.991644087	B75100	0.209683436	0.077001478	0.085534645	0.047147312	BA.2	2023-02-12
BA.2_44976	117838.895	0.992663439	B75100	0.18091005	0.072486772	0.060529682	0.047893596	BA.2	2023-02-19
BA.2_44983	111028.5315	0.99362388	B75100	0.193801079	0.064822918	0.084003192	0.044974969	BA.2	2023-02-26
BA.2_44990	100853.4915	0.994496302	B75100	0.181917857	0.078850348	0.054456305	0.048611204	BA.2	2023-03-05
BA.2_44997	62114.10101	0.995033613	B75100	0.44280034	0.093502006	0.285805417	0.063492916	BA.2	2023-03-12
BA.2_45004	67079.91117	0.995613881	B75100	0.369371602	0.091110955	0.211304898	0.066955749	BA.2	2023-03-19
BA.2_45011	57025.90988	0.996107178	B75100	0.292889413	0.089428296	0.137867876	0.065593242	BA.2	2023-03-26
BA.2_45018	61308.96215	0.996637524	B75100	0.367431953	0.126156685	0.165783358	0.075491909	BA.2	2023-04-02
BA.2_45025	50026.17695	0.99707027	B75100	0.359017495	0.161749623	0.12553013	0.071737742	BA.2	2023-04-09
BA.2_45032	44484.26863	0.997455077	B75100	0.34126335	0.11466887	0.154942464	0.071652017	BA.2	2023-04-16
BA.2_45039	39816.47882	0.997799505	B75100	0.359794768	0.177942398	0.119291444	0.062560926	BA.2	2023-04-23
BA.2_45046	37699.99816	0.998125625	B75100	0.556567112	0.206026278	0.268056168	0.082484665	BA.2	2023-04-30
BA.4/5_44668	19622.31789	0.000772665	A075	0	0	0	0	BA.4/5	2022-04-17
BA.4/5_44675	24019.93225	0.001026789	A075	0.123694006	0.024048233	0.054569583	0.04507619	BA.4/5	2022-04-24
BA.4/5_44682	50240.77648	0.001558322	A075	0.129229917	0.029254168	0.046315763	0.053659985	BA.4/5	2022-05-01
BA.4/5_44689	72317.22257	0.002323416	A075	0.081710428	0.021324162	0.033656262	0.026730003	BA.4/5	2022-05-08
BA.4/5_44696	119607.5346	0.003588829	A075	0.085789937	0.020169189	0.038228155	0.027392594	BA.4/5	2022-05-15
BA.4/5_44703	200322.9945	0.005708187	A075	0.060758636	0.02002929	0.01825801	0.022471336	BA.4/5	2022-05-22
BA.4/5_44710	338581.9633	0.009290283	A075	0.057231443	0.013377564	0.01933445	0.024519429	BA.4/5	2022-05-29
BA.4/5_44717	619178.5948	0.015841009	A075	0.049765603	0.01471047	0.016914705	0.018140428	BA.4/5	2022-06-05
BA.4/5_44724	1024139.49	0.026676102	A075	0.045441383	0.013902039	0.016797717	0.014741628	BA.4/5	2022-06-12
BA.4/5_44731	1837281.485	0.046113995	A075	0.070863034	0.023505069	0.025506202	0.021851762	BA.4/5	2022-06-19
BA.4/5_44738	2839656.818	0.076156722	A075	0.047208341	0.01389804	0.014965469	0.018344832	BA.4/5	2022-06-26
BA.4/5_44745	3968583.421	0.118143158	A075	0.042656484	0.011405226	0.017648806	0.013602451	BA.4/5	2022-07-03
BA.4/5_44752	5007867.388	0.17112491	A075	0.039489157	0.008141134	0.017242684	0.014105339	BA.4/5	2022-07-10
BA.4/5_44759	5888834.696	0.233427036	A075	0.031168441	0.009003921	0.009674627	0.012489893	BA.4/5	2022-07-17
BA.4/5_44766	6426862.707	0.301421338	A075	0.033820634	0.012223889	0.010231025	0.01136572	BA.4/5	2022-07-24
BA.4/5_44773	6598038.34	0.371226627	A075	0.032179999	0.008868326	0.01080479	0.012506883	BA.4/5	2022-07-31
BA.4/5_44780	6238729.544	0.437230536	A075	0.037382146	0.008955003	0.016043096	0.012384048	BA.4/5	2022-08-07
BA.4/5_44787	5701967.496	0.497555662	A075	0.039879987	0.010816623	0.015172941	0.013890423	BA.4/5	2022-08-14
BA.4/5_44794	4993473.426	0.55038513	A075	0.038734666	0.012816756	0.01152009	0.01439782	BA.4/5	2022-08-21
BA.4/5_44801	4507826.134	0.598076594	A075	0.040025291	0.010951482	0.01394979	0.015124018	BA.4/5	2022-08-28
BA.4/5_44808	3794400.933	0.638220231	A075	0.046594295	0.01410978	0.018982803	0.013501711	BA.4/5	2022-09-04
BA.4/5_44815	3291693.369	0.673045371	A075	0.047562755	0.012123896	0.019696025	0.015742835	BA.4/5	2022-09-11
BA.4/5_44822	2901323.158	0.70374051	A075	0.051360166	0.01082067	0.024842888	0.015696608	BA.4/5	2022-09-18
BA.4/5_44829	2831331.132	0.733695154	A075	0.052365199	0.019305202	0.017609598	0.015450399	BA.4/5	2022-09-25
BA.4/5_44836	2687460.175	0.762127686	B75100	0.053687882	0.016167261	0.020068054	0.017452567	BA.4/5	2022-10-02
BA.4/5_44843	2551189.044	0.78911851	B75100	0.062445827	0.016178452	0.027110184	0.019157191	BA.4/5	2022-10-09
BA.4/5_44850	2358430.845	0.814070009	B75100	0.059225087	0.016316249	0.026182663	0.016726175	BA.4/5	2022-10-16
BA.4/5_44857	2077080.572	0.836044905	B75100	0.062696037	0.017411084	0.024727712	0.020557241	BA.4/5	2022-10-23
BA.4/5_44864	1769610.227	0.854766857	B75100	0.066522194	0.016892691	0.031397086	0.018232417	BA.4/5	2022-10-30
BA.4/5_44871	1521144.541	0.870860115	B75100	0.066378964	0.016799092	0.028459803	0.021120069	BA.4/5	2022-11-06
BA.4/5_44878	1413727.729	0.885816935	B75100	0.080279038	0.020220534	0.035873918	0.024184586	BA.4/5	2022-11-13
BA.4/5_44885	1392439.773	0.900548535	B75100	0.065095401	0.02012264	0.022346712	0.02262605	BA.4/5	2022-11-20
BA.4/5_44892	1353701.534	0.914870296	B75100	0.071570918	0.021755119	0.028018086	0.021797713	BA.4/5	2022-11-27
BA.4/5_44899	1256678.978	0.928165587	B75100	0.077491425	0.021196485	0.034330956	0.021963984	BA.4/5	2022-12-04
BA.4/5_44906	1212619.495	0.940994742	B75100	0.067586009	0.026838556	0.018990977	0.021756477	BA.4/5	2022-12-11
BA.4/5_44913	1169667.769	0.95336948	B75100	0.073449821	0.025892318	0.024083601	0.023473902	BA.4/5	2022-12-18
BA.4/5_44920	1038182.99	0.964353149	B75100	0.076204167	0.024452353	0.024846783	0.026905031	BA.4/5	2022-12-25
BA.4/5_44927	782945.8223	0.972636483	B75100	0.095240548	0.027261714	0.038721105	0.029257729	BA.4/5	2023-01-01
BA.4/5_44934	695757.2256	0.979997388	B75100	0.097014787	0.03305902	0.035924102	0.028031665	BA.4/5	2023-01-08
BA.4/5_44941	548113.8146	0.98579627	B75100	0.101597093	0.035219099	0.034503178	0.031874817	BA.4/5	2023-01-15
BA.4/5_44948	398941.5611	0.990016953	B75100	0.099644913	0.031845227	0.033855902	0.033943784	BA.4/5	2023-01-22
BA.4/5_44955	245434.08	0.992613573	B75100	0.129936637	0.040902668	0.050180137	0.038853831	BA.4/5	2023-01-29
BA.4/5_44962	175977.3957	0.994475362	B75100	0.147446019	0.054562294	0.048612727	0.044270998	BA.4/5	2023-02-05
BA.4/5_44969	125486.5935	0.995802973	B75100	0.156591332	0.050947194	0.061118879	0.044525259	BA.4/5	2023-02-12
BA.4/5_44976	94472.35892	0.996802462	B75100	0.139842835	0.050871341	0.04539008	0.043581414	BA.4/5	2023-02-19
BA.4/5_44983	72911.64983	0.997573846	B75100	0.173036525	0.063734509	0.05633271	0.052969306	BA.4/5	2023-02-26
BA.4/5_44990	48349.86164	0.998085373	B75100	0.192348227	0.071804711	0.061375808	0.059167708	BA.4/5	2023-03-05
BA.4/5_44997	35767.79295	0.998463786	B75100	0.224813026	0.083052047	0.078141224	0.063619755	BA.4/5	2023-03-12
BQ.1_44815	16122.50369	0.002497627	A075	0	0	0	0	BQ.1	2022-09-11
BQ.1_44822	28863.67884	0.00402651	A075	0.130118174	0.039830349	0.06565544	0.024632385	BQ.1	2022-09-18
BQ.1_44829	57678.45448	0.007081685	A075	0.113921292	0.036270611	0.055456762	0.022193919	BQ.1	2022-09-25
BQ.1_44836	108283.3508	0.012817357	A075	0.090705882	0.026182126	0.045917068	0.018606687	BQ.1	2022-10-02
BQ.1_44843	179888.1117	0.022345868	A075	0.065977006	0.021310129	0.024623097	0.02004378	BQ.1	2022-10-09
BQ.1_44850	262989.246	0.03627617	A075	0.070440215	0.022176635	0.026029214	0.022234366	BQ.1	2022-10-16
BQ.1_44857	335915.0706	0.054069288	A075	0.076247083	0.018534807	0.033284208	0.024428069	BQ.1	2022-10-23
BQ.1_44864	405476.7156	0.075547024	A075	0.068437292	0.024193838	0.024289883	0.019953572	BQ.1	2022-10-30
BQ.1_44871	524693.7393	0.103339578	A075	0.054138907	0.020595292	0.015053036	0.018490579	BQ.1	2022-11-06
BQ.1_44878	686683.8257	0.1397126	A075	0.068026523	0.019331938	0.02947793	0.019216655	BQ.1	2022-11-13
BQ.1_44885	890138.5193	0.186862434	A075	0.051388851	0.016093425	0.017181024	0.018114403	BQ.1	2022-11-20
BQ.1_44892	1124422.81	0.246422095	A075	0.065506105	0.019880035	0.026784264	0.018841805	BQ.1	2022-11-27
BQ.1_44899	1459751.732	0.323743826	A075	0.05412066	0.019823412	0.016761043	0.017536205	BQ.1	2022-12-04
BQ.1_44906	1725230.83	0.415127745	A075	0.05442366	0.018779525	0.020252166	0.015391969	BQ.1	2022-12-11
BQ.1_44913	1910797.466	0.516340962	A075	0.059051992	0.018417596	0.022927709	0.017706687	BQ.1	2022-12-18
BQ.1_44920	1904570.611	0.617224348	A075	0.059378791	0.024131368	0.017634737	0.017612686	BQ.1	2022-12-25
BQ.1_44927	1782636.011	0.711648968	A075	0.057957316	0.020666684	0.017491475	0.019799156	BQ.1	2023-01-01
BQ.1_44934	1423971.167	0.787075435	B75100	0.073165341	0.024874014	0.026592104	0.021699224	BQ.1	2023-01-08
BQ.1_44941	1097497.542	0.845208889	B75100	0.06879326	0.027229506	0.017451005	0.024112749	BQ.1	2023-01-15
BQ.1_44948	779880.9974	0.886518481	B75100	0.075028459	0.027694321	0.020542916	0.026791223	BQ.1	2023-01-22
BQ.1_44955	529289.406	0.914554463	B75100	0.09245609	0.035143431	0.02803722	0.029275439	BQ.1	2023-01-29
BQ.1_44962	387238.638	0.935066144	B75100	0.09251267	0.041496301	0.020175935	0.030840434	BQ.1	2023-02-05
BQ.1_44969	292262.3242	0.950547016	B75100	0.103287497	0.041984372	0.0249937	0.036309425	BQ.1	2023-02-12
BQ.1_44976	243056.6962	0.963421509	B75100	0.115522192	0.047994715	0.028672144	0.038855334	BQ.1	2023-02-19
BQ.1_44983	179568.9793	0.972933116	B75100	0.122404904	0.050908899	0.028400972	0.043095033	BQ.1	2023-02-26
BQ.1_44990	125665.3334	0.979589495	B75100	0.13425672	0.05997111	0.032264612	0.042020998	BQ.1	2023-03-05
BQ.1_44997	95738.08303	0.984660655	B75100	0.159479097	0.078671267	0.032782836	0.048024994	BQ.1	2023-03-12
BQ.1_45004	68285.97121	0.988277701	B75100	0.18012812	0.086908031	0.038278617	0.054941472	BQ.1	2023-03-19
BQ.1_45011	50880.11233	0.990972775	B75100	0.206655977	0.094186898	0.0476935	0.064775579	BQ.1	2023-03-26
BQ.1_45018	41904.99166	0.993192445	B75100	0.237766667	0.092455732	0.076329156	0.068981779	BQ.1	2023-04-02
Delta_44269	21048.79546	0.000708762	A075	0	0	0	0	Delta	2021-03-14
Delta_44276	6011.083546	0.000765023	A075	0.527779975	0.3707845	0.026417453	0.130578022	Delta	2021-03-21
Delta_44283	5302.408284	0.000814651	A075	0.21286983	0.09704139	0.018371349	0.097457091	Delta	2021-03-28
Delta_44290	12625.67692	0.000932821	A075	0.17084884	0.084755439	0.018214058	0.067879343	Delta	2021-04-04
Delta_44297	37093.80201	0.00128	A075	0.143144763	0.071239939	0.021330966	0.050573857	Delta	2021-04-11
Delta_44304	68926.93871	0.001925121	A075	0.152828103	0.085941913	0.014258669	0.052627522	Delta	2021-04-18
Delta_44311	133578.7232	0.00317535	A075	0.150855121	0.098022089	0.007130686	0.045702346	Delta	2021-04-25
Delta_44318	176312.9757	0.004825549	A075	0.131787482	0.082652538	0.010860019	0.038274924	Delta	2021-05-02
Delta_44325	293539.7998	0.007572932	A075	0.12508224	0.072783392	0.009776275	0.042522574	Delta	2021-05-09
Delta_44332	323120.0521	0.010597172	A075	0.146387562	0.084837619	0.010005302	0.051544642	Delta	2021-05-16
Delta_44339	514049.7007	0.015408415	A075	0.133915086	0.095422375	0.007135268	0.031357443	Delta	2021-05-23
Delta_44346	827475.4127	0.023153163	A075	0.083595019	0.054429201	0.006354526	0.022811293	Delta	2021-05-30
Delta_44353	987146.4756	0.032392352	A075	0.055336364	0.027811256	0.004963607	0.022561501	Delta	2021-06-06
Delta_44360	1035260.576	0.042081863	A075	0.067283616	0.038982193	0.00656173	0.021739693	Delta	2021-06-13
Delta_44367	1144983.258	0.052798323	A075	0.089145841	0.052557281	0.009039753	0.027548807	Delta	2021-06-20
