Date	VOC	WeeklyCases
2020-07-05	BA.2.86	0
2020-07-05	BA.4/5	684.371438559692
2020-07-05	BQ.1	0
2020-07-05	Alpha	0
2020-07-05	Delta	0
2020-07-05	XBB	0
2020-07-05	Total	1305096.33333333
2020-07-12	WT	1439765.35097568
2020-07-12	BA.1	231.547981823042
2020-07-12	BA.2	0
2020-07-12	BA.2.86	0
2020-07-12	BA.4/5	0
2020-07-12	BQ.1	0
2020-07-12	Alpha	463.095963646084
2020-07-12	Delta	463.095963646084
2020-07-12	XBB	0
2020-07-12	Total	1443701.66666667
2020-07-19	WT	1573526.88720539
2020-07-19	BA.1	0
2020-07-19	BA.2	0
2020-07-19	BA.2.86	0
2020-07-19	BA.4/5	0
2020-07-19	BQ.1	0
2020-07-19	Alpha	228.212746512746
2020-07-19	Delta	7759.23338143338
2020-07-19	XBB	0
2020-07-19	Total	1581514.33333333
2020-07-26	WT	1717559.46691616
2020-07-26	BA.1	0
2020-07-26	BA.2	0
2020-07-26	BA.2.86	0
2020-07-26	BA.4/5	267.86641717345
2020-07-26	BQ.1	0
2020-07-26	Alpha	0
2020-07-26	Delta	0
2020-07-26	XBB	0
2020-07-26	Total	1717827.33333333
2020-08-02	WT	1803950.6717833
2020-08-02	BA.1	0
2020-08-02	BA.2	0
2020-08-02	BA.2.86	0
2020-08-02	BA.4/5	0
2020-08-02	BQ.1	0
2020-08-02	Alpha	271.761173814898
2020-08-02	Delta	1358.80586907449
2020-08-02	XBB	0
2020-08-02	Total	1805853
2020-08-09	WT	1852842.85089216
2020-08-09	BA.1	0
2020-08-09	BA.2	0
2020-08-09	BA.2.86	0
2020-08-09	BA.4/5	0
2020-08-09	BQ.1	0
2020-08-09	Alpha	0
2020-08-09	Delta	0
2020-08-09	XBB	0
2020-08-09	Total	1853418
2020-08-16	WT	1843723.60634139
2020-08-16	BA.1	0
2020-08-16	BA.2	0
2020-08-16	BA.2.86	0
2020-08-16	BA.4/5	1070.53192413494
2020-08-16	BQ.1	0
2020-08-16	Alpha	0
2020-08-16	Delta	3746.86173447227
2020-08-16	XBB	0
2020-08-16	Total	1848541
2020-08-23	WT	1859482.22926141
2020-08-23	BA.1	0
2020-08-23	BA.2	291.82081438503
2020-08-23	BA.2.86	0
2020-08-23	BA.4/5	0
2020-08-23	BQ.1	0
2020-08-23	Alpha	291.82081438503
2020-08-23	Delta	583.641628770059
2020-08-23	XBB	0
2020-08-23	Total	1860941.33333333
2020-08-30	WT	1893492.97281058
2020-08-30	BA.1	0
2020-08-30	BA.2	0
2020-08-30	BA.2.86	0
2020-08-30	BA.4/5	284.564618697111
2020-08-30	BQ.1	0
2020-08-30	Alpha	569.129237394222
2020-08-30	Delta	0
2020-08-30	XBB	0
2020-08-30	Total	1894346.66666667
2020-09-06	WT	1938192.01627876
2020-09-06	BA.1	0
2020-09-06	BA.2	260.825193954886
2020-09-06	BA.2.86	0
2020-09-06	BA.4/5	260.825193954886
2020-09-06	BQ.1	0
2020-09-06	Alpha	0
2020-09-06	Delta	0
2020-09-06	XBB	0
2020-09-06	Total	1938713.66666667
2020-09-13	WT	2008272.88471346
2020-09-13	BA.1	0
2020-09-13	BA.2	0
2020-09-13	BA.2.86	0
2020-09-13	BA.4/5	0
2020-09-13	BQ.1	0
2020-09-13	Alpha	0
2020-09-13	Delta	4051.11528653872
2020-09-13	XBB	0
2020-09-13	Total	2012324
2020-09-20	WT	2050157.83741296
2020-09-20	BA.1	0
2020-09-20	BA.2	0
2020-09-20	BA.2.86	0
2020-09-20	BA.4/5	0
2020-09-20	BQ.1	0
2020-09-20	Alpha	525.951215344526
2020-09-20	Delta	788.926823016788
2020-09-20	XBB	0
2020-09-20	Total	2051998.66666667
2020-09-27	WT	2108738.5186479
2020-09-27	BA.1	216.881468543443
2020-09-27	BA.2	216.881468543443
2020-09-27	BA.2.86	0
2020-09-27	BA.4/5	0
2020-09-27	BQ.1	0
2020-09-27	Alpha	650.64440563033
2020-09-27	Delta	216.881468543443
2020-09-27	XBB	0
2020-09-27	Total	2110907.33333333
2020-10-04	WT	2199656.24165029
2020-10-04	BA.1	0
2020-10-04	BA.2	0
2020-10-04	BA.2.86	0
2020-10-04	BA.4/5	0
2020-10-04	BQ.1	0
2020-10-04	Alpha	720.568762278978
2020-10-04	Delta	0
2020-10-04	XBB	0
2020-10-04	Total	2200617
2020-10-11	WT	2363259.20165299
2020-10-11	BA.1	0
2020-10-11	BA.2	0
2020-10-11	BA.2.86	0
2020-10-11	BA.4/5	208.713168034354
2020-10-11	BQ.1	0
2020-10-11	Alpha	834.852672137416
2020-10-11	Delta	0
2020-10-11	XBB	0
2020-10-11	Total	2365346.33333333
2020-10-18	WT	2678676.61797372
2020-10-18	BA.1	0
2020-10-18	BA.2	0
2020-10-18	BA.2.86	0
2020-10-18	BA.4/5	0
2020-10-18	BQ.1	0
2020-10-18	Alpha	1365.62662144977
2020-10-18	Delta	1365.62662144977
2020-10-18	XBB	0
2020-10-18	Total	2684594.33333333
2020-10-25	WT	3062606.5556711
2020-10-25	BA.1	0
2020-10-25	BA.2	0
2020-10-25	BA.2.86	0
2020-10-25	BA.4/5	0
2020-10-25	BQ.1	0
2020-10-25	Alpha	7072.99435489861
2020-10-25	Delta	0
2020-10-25	XBB	0
2020-10-25	Total	3071733
2020-11-01	WT	3469492.52513084
2020-11-01	BA.1	0
2020-11-01	BA.2	0
2020-11-01	BA.2.86	0
2020-11-01	BA.4/5	0
2020-11-01	BQ.1	0
2020-11-01	Alpha	8955.27988496813
2020-11-01	Delta	271.372117726307
2020-11-01	XBB	0
2020-11-01	Total	3491473.66666667
2020-11-08	WT	3761753.63847764
2020-11-08	BA.1	0
2020-11-08	BA.2	0
2020-11-08	BA.2.86	0
2020-11-08	BA.4/5	0
2020-11-08	BQ.1	0
2020-11-08	Alpha	41246.3613354269
2020-11-08	Delta	641.135150291611
2020-11-08	XBB	0
2020-11-08	Total	3810907.33333333
2020-11-15	WT	3875543.33280779
2020-11-15	BA.1	0
2020-11-15	BA.2	210.512945834209
2020-11-15	BA.2.86	0
2020-11-15	BA.4/5	210.512945834209
2020-11-15	BQ.1	0
2020-11-15	Alpha	126097.254554691
2020-11-15	Delta	842.051783336837
2020-11-15	XBB	0
2020-11-15	Total	4005640.33333333
2020-11-22	WT	3923558.92447533
2020-11-22	BA.1	0
2020-11-22	BA.2	0
2020-11-22	BA.2.86	0
2020-11-22	BA.4/5	0
2020-11-22	BQ.1	0
2020-11-22	Alpha	131953.786738729
2020-11-22	Delta	854.992138695866
2020-11-22	XBB	0
2020-11-22	Total	4060357.66666667
2020-11-29	WT	3945776.40294985
2020-11-29	BA.1	0
2020-11-29	BA.2	0
2020-11-29	BA.2.86	0
2020-11-29	BA.4/5	0
2020-11-29	BQ.1	0
2020-11-29	Alpha	163093.708112094
2020-11-29	Delta	0
2020-11-29	XBB	0
2020-11-29	Total	4110689
2020-12-06	WT	4073907.5201533
2020-12-06	BA.1	0
2020-12-06	BA.2	0
2020-12-06	BA.2.86	0
2020-12-06	BA.4/5	0
2020-12-06	BQ.1	0
2020-12-06	Alpha	129480.350865601
2020-12-06	Delta	1111.41932073477
2020-12-06	XBB	0
2020-12-06	Total	4205055
2020-12-13	WT	3970522.10338832
2020-12-13	BA.1	0
2020-12-13	BA.2	0
2020-12-13	BA.2.86	185.677240150969
2020-12-13	BA.4/5	0
2020-12-13	BQ.1	0
2020-12-13	Alpha	406447.478690471
2020-12-13	Delta	742.708960603876
2020-12-13	XBB	0
2020-12-13	Total	4378455
2020-12-20	WT	3592743.0193133
2020-12-20	BA.1	0
2020-12-20	BA.2	0
2020-12-20	BA.2.86	0
2020-12-20	BA.4/5	0
2020-12-20	BQ.1	0
2020-12-20	Alpha	756443.204935622
2020-12-20	Delta	482.938841201717
2020-12-20	XBB	0
2020-12-20	Total	4350957
2020-12-27	WT	3595788.1135688
2020-12-27	BA.1	0
2020-12-27	BA.2	0
2020-12-27	BA.2.86	0
2020-12-27	BA.4/5	0
2020-12-27	BQ.1	0
2020-12-27	Alpha	705069.24252196
2020-12-27	Delta	0
2020-12-27	XBB	0
2020-12-27	Total	4301724.33333333
2021-01-03	WT	3479971.91777459
2021-01-03	BA.1	1178.33906179181
2021-01-03	BA.2	0
2021-01-03	BA.2.86	0
2021-01-03	BA.4/5	0
2021-01-03	BQ.1	0
2021-01-03	Alpha	972971.396736667
2021-01-03	Delta	2525.01227526817
2021-01-03	XBB	0
2021-01-03	Total	4456815
2021-01-10	WT	3625025.32220171
2021-01-10	BA.1	7772.90827432287
2021-01-10	BA.2	0
2021-01-10	BA.2.86	0
2021-01-10	BA.4/5	0
2021-01-10	BQ.1	0
2021-01-10	Alpha	1062556.56109994
2021-01-10	Delta	5570.58426326473
2021-01-10	XBB	0
2021-01-10	Total	4701702.66666667
2021-01-17	WT	3377559.52484137
2021-01-17	BA.1	856.968961321165
2021-01-17	BA.2	0
2021-01-17	BA.2.86	0
2021-01-17	BA.4/5	122.424137331595
2021-01-17	BQ.1	0
2021-01-17	Alpha	1309693.4211734
2021-01-17	Delta	6610.90341590613
2021-01-17	XBB	0
2021-01-17	Total	4694965.66666667
2021-01-24	WT	2882083.40671284
2021-01-24	BA.1	227.544876576097
2021-01-24	BA.2	0
2021-01-24	BA.2.86	0
2021-01-24	BA.4/5	0
2021-01-24	BQ.1	0
2021-01-24	Alpha	1388023.74711419
2021-01-24	Delta	682.63462972829
2021-01-24	XBB	0
2021-01-24	Total	4271017.33333333
2021-01-31	WT	1988049.79781077
2021-01-31	BA.1	448.405313472296
2021-01-31	BA.2	0
2021-01-31	BA.2.86	0
2021-01-31	BA.4/5	0
2021-01-31	BQ.1	0
2021-01-31	Alpha	1718020.11803776
2021-01-31	Delta	1434.89700311135
2021-01-31	XBB	0
2021-01-31	Total	3708670.66666667
2021-02-07	WT	1843131.40843551
2021-02-07	BA.1	175.930072871236
2021-02-07	BA.2	0
2021-02-07	BA.2.86	0
2021-02-07	BA.4/5	0
2021-02-07	BQ.1	0
2021-02-07	Alpha	1362578.41438773
2021-02-07	Delta	703.720291484946
2021-02-07	XBB	0
2021-02-07	Total	3206941.33333333
2021-02-14	WT	1431047.53290242
2021-02-14	BA.1	137.494958964491
2021-02-14	BA.2	0
2021-02-14	BA.2.86	0
2021-02-14	BA.4/5	0
2021-02-14	BQ.1	0
2021-02-14	Alpha	1349100.53735958
2021-02-14	Delta	6049.77819443759
2021-02-14	XBB	0
2021-02-14	Total	2786610.33333333
2021-02-21	WT	1153986.42594412
2021-02-21	BA.1	478.609124762971
2021-02-21	BA.2	0
2021-02-21	BA.2.86	0
2021-02-21	BA.4/5	0
2021-02-21	BQ.1	0
2021-02-21	Alpha	1462569.65913504
2021-02-21	Delta	1376.00123369354
2021-02-21	XBB	0
2021-02-21	Total	2618650
2021-02-28	WT	1060687.90400842
2021-02-28	BA.1	55.218278099246
2021-02-28	BA.2	0
2021-02-28	BA.2.86	0
2021-02-28	BA.4/5	0
2021-02-28	BQ.1	0
2021-02-28	Alpha	1562511.61537436
2021-02-28	Delta	662.619337190952
2021-02-28	XBB	0
2021-02-28	Total	2624248.66666667
2021-03-07	WT	1003003.26686087
2021-03-07	BA.1	279.980813661477
2021-03-07	BA.2	0
2021-03-07	BA.2.86	55.9961627322953
2021-03-07	BA.4/5	0
2021-03-07	BQ.1	55.9961627322953
2021-03-07	Alpha	1780565.98256153
2021-03-07	Delta	3023.79278754395
2021-03-07	XBB	0
2021-03-07	Total	2787209
2021-03-14	WT	893707.709305706
2021-03-14	BA.1	157.472285205986
2021-03-14	BA.2	52.4907617353287
2021-03-14	BA.2.86	0
2021-03-14	BA.4/5	0
2021-03-14	BQ.1	0
2021-03-14	Alpha	2094066.4486692
2021-03-14	Delta	21048.7954558668
2021-03-14	XBB	0
2021-03-14	Total	3009505.33333333
2021-03-21	WT	896626.218654213
2021-03-21	BA.1	162.461717458636
2021-03-21	BA.2	0
2021-03-21	BA.2.86	0
2021-03-21	BA.4/5	0
2021-03-21	BQ.1	0
2021-03-21	Alpha	2470338.7217702
2021-03-21	Delta	6011.08354596954
2021-03-21	XBB	0
2021-03-21	Total	3374492.33333333
2021-03-28	WT	939767.255361092
2021-03-28	BA.1	169.22579628351
2021-03-28	BA.2	0
2021-03-28	BA.2.86	0
2021-03-28	BA.4/5	0
2021-03-28	BQ.1	0
2021-03-28	Alpha	2811686.60525052
2021-03-28	Delta	5302.40828354998
2021-03-28	XBB	0
2021-03-28	Total	3758053.66666667
2021-04-04	WT	1090205.2173782
2021-04-04	BA.1	62.8143130547477
2021-04-04	BA.2	0
2021-04-04	BA.2.86	0
2021-04-04	BA.4/5	0
2021-04-04	BQ.1	0
2021-04-04	Alpha	3063705.30493226
2021-04-04	Delta	12625.6769240043
2021-04-04	XBB	0
2021-04-04	Total	4168295
2021-04-11	WT	1172265.77023429
2021-04-11	BA.1	0
2021-04-11	BA.2	0
2021-04-11	BA.2.86	0
2021-04-11	BA.4/5	0
2021-04-11	BQ.1	0
2021-04-11	Alpha	3422647.28878239
2021-04-11	Delta	37093.8020056798
2021-04-11	XBB	0
2021-04-11	Total	4635055.66666667
2021-04-18	WT	1126403.09888636
2021-04-18	BA.1	0
2021-04-18	BA.2	0
2021-04-18	BA.2.86	0
2021-04-18	BA.4/5	0
2021-04-18	BQ.1	0
2021-04-18	Alpha	3964621.50186109
2021-04-18	Delta	68926.9387121566
2021-04-18	XBB	0
2021-04-18	Total	5162441
2021-04-25	WT	1106226.44580686
2021-04-25	BA.1	0
2021-04-25	BA.2	0
2021-04-25	BA.2.86	0
2021-04-25	BA.4/5	0
2021-04-25	BQ.1	0
2021-04-25	Alpha	4296900.21208928
2021-04-25	Delta	133578.723164203
2021-04-25	XBB	0
2021-04-25	Total	5540774.66666667
2021-05-02	WT	1100278.84370422
2021-05-02	BA.1	268.360693586396
2021-05-02	BA.2	89.4535645287986
2021-05-02	BA.2.86	0
2021-05-02	BA.4/5	0
2021-05-02	BQ.1	0
2021-05-02	Alpha	4334293.56211388
2021-05-02	Delta	176312.975686262
2021-05-02	XBB	0
2021-05-02	Total	5618041.66666667
2021-05-09	WT	976439.045225609
2021-05-09	BA.1	921.342748844696
2021-05-09	BA.2	184.268549768939
2021-05-09	BA.2.86	0
2021-05-09	BA.4/5	0
2021-05-09	BQ.1	0
2021-05-09	Alpha	4046168.81582637
2021-05-09	Delta	293539.79978192
2021-05-09	XBB	0
2021-05-09	Total	5323242
2021-05-16	WT	814188.407735751
2021-05-16	BA.1	195.061908896922
2021-05-16	BA.2	0
2021-05-16	BA.2.86	0
2021-05-16	BA.4/5	0
2021-05-16	BQ.1	0
2021-05-16	Alpha	3681793.5304294
2021-05-16	Delta	323120.052087751
2021-05-16	XBB	0
2021-05-16	Total	4829635.33333333
2021-05-23	WT	701329.114247963
2021-05-23	BA.1	92.2558687513764
2021-05-23	BA.2	0
2021-05-23	BA.2.86	0
2021-05-23	BA.4/5	0
2021-05-23	BQ.1	0
2021-05-23	Alpha	2960306.31649416
2021-05-23	Delta	514049.700682669
2021-05-23	XBB	0
2021-05-23	Total	4189339
2021-05-30	WT	557446.138498335
2021-05-30	BA.1	173.875900966418
2021-05-30	BA.2	0
2021-05-30	BA.2.86	0
2021-05-30	BA.4/5	0
2021-05-30	BQ.1	0
2021-05-30	Alpha	2196052.62920586
2021-05-30	Delta	827475.412699182
2021-05-30	XBB	0
2021-05-30	Total	3586364.33333333
2021-06-06	WT	509992.50879567
2021-06-06	BA.1	82.9256111862878
2021-06-06	BA.2	0
2021-06-06	BA.2.86	0
2021-06-06	BA.4/5	0
2021-06-06	BQ.1	0
2021-06-06	Alpha	1562650.21719441
2021-06-06	Delta	987146.47556157
2021-06-06	XBB	0
2021-06-06	Total	3064101.33333333
2021-06-13	WT	461466.777581016
2021-06-13	BA.1	80.5211616787675
2021-06-13	BA.2	0
2021-06-13	BA.2.86	0
2021-06-13	BA.4/5	0
2021-06-13	BQ.1	0
2021-06-13	Alpha	1225371.03842748
2021-06-13	Delta	1035260.57570391
2021-06-13	XBB	0
2021-06-13	Total	2728218
2021-06-20	WT	473873.291760494
2021-06-20	BA.1	180.454414227149
2021-06-20	BA.2	0
2021-06-20	BA.2.86	0
2021-06-20	BA.4/5	0
2021-06-20	BQ.1	0
2021-06-20	Alpha	976889.971418673
2021-06-20	Delta	1144983.25827126
2021-06-20	XBB	0
2021-06-20	Total	2604408.33333333
2021-06-27	WT	368541.312745669
2021-06-27	BA.1	146.624751440489
2021-06-27	BA.2	0
2021-06-27	BA.2.86	0
2021-06-27	BA.4/5	0
2021-06-27	BQ.1	0
2021-06-27	Alpha	638477.48014761
2021-06-27	Delta	1628634.42662523
2021-06-27	XBB	0
2021-06-27	Total	2642251.33333333
2021-07-04	WT	345361.949636978
2021-07-04	BA.1	0
2021-07-04	BA.2	1217.96925812414
2021-07-04	BA.2.86	0
2021-07-04	BA.4/5	135.329917569349
2021-07-04	BQ.1	0
2021-07-04	Alpha	443679.134751109
2021-07-04	Delta	2094704.12909716
2021-07-04	XBB	0
2021-07-04	Total	2892203.33333333
2021-07-11	WT	287059.087864726
2021-07-11	BA.1	63.8050873226775
2021-07-11	BA.2	63.8050873226775
2021-07-11	BA.2.86	0
2021-07-11	BA.4/5	0
2021-07-11	BQ.1	0
2021-07-11	Alpha	364454.658787134
2021-07-11	Delta	2559222.05251259
2021-07-11	XBB	0
2021-07-11	Total	3217435.33333333
2021-07-18	WT	336392.683787051
2021-07-18	BA.1	0
2021-07-18	BA.2	0
2021-07-18	BA.2.86	0
2021-07-18	BA.4/5	0
2021-07-18	BQ.1	0
2021-07-18	Alpha	286378.846734378
2021-07-18	Delta	2920462.27757633
2021-07-18	XBB	0
2021-07-18	Total	3549701.66666667
2021-07-25	WT	195602.052690351
2021-07-25	BA.1	0
2021-07-25	BA.2	0
2021-07-25	BA.2.86	53.9889739691834
2021-07-25	BA.4/5	0
2021-07-25	BQ.1	0
2021-07-25	Alpha	193334.515783646
2021-07-25	Delta	3441473.15669163
2021-07-25	XBB	0
2021-07-25	Total	3835592.66666667
2021-08-01	WT	147046.551529772
2021-08-01	BA.1	0
2021-08-01	BA.2	0
2021-08-01	BA.2.86	0
2021-08-01	BA.4/5	0
2021-08-01	BQ.1	0
2021-08-01	Alpha	142277.724449304
2021-08-01	Delta	3814691.2700381
2021-08-01	XBB	0
2021-08-01	Total	4107025
2021-08-08	WT	314191.769845639
2021-08-08	BA.1	133.395883036643
2021-08-08	BA.2	0
2021-08-08	BA.2.86	0
2021-08-08	BA.4/5	0
2021-08-08	BQ.1	0
2021-08-08	Alpha	69988.3732998919
2021-08-08	Delta	3973552.09860117
2021-08-08	XBB	0
2021-08-08	Total	4361245
2021-08-15	WT	145899.827364197
2021-08-15	BA.1	0
2021-08-15	BA.2	48.8612951655046
2021-08-15	BA.2.86	0
2021-08-15	BA.4/5	0
2021-08-15	BQ.1	0
2021-08-15	Alpha	122153.237913762
2021-08-15	Delta	4243261.45605792
2021-08-15	XBB	0
2021-08-15	Total	4513024.66666667
2021-08-22	WT	232243.844241617
2021-08-22	BA.1	37.0463940407748
2021-08-22	BA.2	0
2021-08-22	BA.2.86	0
2021-08-22	BA.4/5	0
2021-08-22	BQ.1	0
2021-08-22	Alpha	29414.8368683752
2021-08-22	Delta	4300086.09549485
2021-08-22	XBB	0
2021-08-22	Total	4562189.33333333
2021-08-29	WT	55619.4603986606
2021-08-29	BA.1	93.0091311014391
2021-08-29	BA.2	0
2021-08-29	BA.2.86	0
2021-08-29	BA.4/5	139.513696652159
2021-08-29	BQ.1	0
2021-08-29	Alpha	20694.5316700702
2021-08-29	Delta	4431466.55589362
2021-08-29	XBB	0
2021-08-29	Total	4508989.66666667
2021-09-05	WT	42020.5600894218
2021-09-05	BA.1	44.8458485479421
2021-09-05	BA.2	0
2021-09-05	BA.2.86	0
2021-09-05	BA.4/5	0
2021-09-05	BQ.1	0
2021-09-05	Alpha	11749.6123195608
2021-09-05	Delta	4230353.73937593
2021-09-05	XBB	0
2021-09-05	Total	4286231.66666667
2021-09-12	WT	31155.9571601864
2021-09-12	BA.1	47.7852103683841
2021-09-12	BA.2	0
2021-09-12	BA.2.86	0
2021-09-12	BA.4/5	0
2021-09-12	BQ.1	0
2021-09-12	Alpha	7215.566765626
