Lineage	Alias	VOCGroup
*HK.1.1	*HK.1.1	Other
*HK.10	*HK.10	Other
*HK.3.11	*HK.3.11	Other
*I.1	*I.1	Other
*J.1	*J.1	Other
*KD.5	*KD.5	Other
A	A	WT
A.1	A.1	WT
A.11	A.11	WT
A.12	A.12	WT
A.15	A.15	WT
A.16	A.16	WT
A.17	A.17	WT
A.18	A.18	WT
A.19	A.19	WT
A.2	A.2	WT
A.2.2	A.2.2	WT
A.2.3	A.2.3	WT
A.2.4	A.2.4	WT
A.2.5	A.2.5	WT
A.2.5.1	A.2.5.1	WT
A.2.5.2	A.2.5.2	WT
A.2.5.3	A.2.5.3	WT
A.21	A.21	WT
A.22	A.22	WT
A.23	A.23	WT
A.23.1	A.23.1	WT
A.24	A.24	WT
A.25	A.25	WT
A.26	A.26	WT
A.27	A.27	WT
A.28	A.28	WT
A.29	A.29	WT
A.3	A.3	WT
A.30	A.30	WT
A.4	A.4	WT
A.5	A.5	WT
A.6	A.6	WT
A.7	A.7	WT
A.9	A.9	WT
B	B	WT
B.1	B.1	WT
B.1.1	B.1.1	WT
B.1.1.1	B.1.1.1	WT
C.1	B.1.1.1.1	WT
C.1.1	B.1.1.1.1.1	WT
C.1.2	B.1.1.1.1.2	WT
C.10	B.1.1.1.10	WT
C.11	B.1.1.1.11	WT
C.12	B.1.1.1.12	WT
C.13	B.1.1.1.13	WT
C.14	B.1.1.1.14	WT
C.16	B.1.1.1.16	WT
C.17	B.1.1.1.17	WT
C.18	B.1.1.1.18	WT
C.19	B.1.1.1.19	WT
C.2	B.1.1.1.2	WT
C.2.1	B.1.1.1.2.1	WT
C.20	B.1.1.1.20	WT
C.21	B.1.1.1.21	WT
C.22	B.1.1.1.22	WT
C.23	B.1.1.1.23	WT
C.25	B.1.1.1.25	WT
C.26	B.1.1.1.26	WT
C.27	B.1.1.1.27	WT
C.28	B.1.1.1.28	WT
C.29	B.1.1.1.29	WT
C.3	B.1.1.1.3	WT
C.30	B.1.1.1.30	WT
C.30.1	B.1.1.1.30.1	WT
C.31	B.1.1.1.31	WT
C.32	B.1.1.1.32	WT
C.33	B.1.1.1.33	WT
C.34	B.1.1.1.34	WT
C.35	B.1.1.1.35	WT
C.36	B.1.1.1.36	WT
C.36.1	B.1.1.1.36.1	WT
C.36.2	B.1.1.1.36.2	WT
C.36.3	B.1.1.1.36.3	WT
C.36.3.1	B.1.1.1.36.3.1	WT
C.37	B.1.1.1.37	WT
C.37.1	B.1.1.1.37.1	WT
C.38	B.1.1.1.38	WT
C.39	B.1.1.1.39	WT
C.4	B.1.1.1.4	WT
C.40	B.1.1.1.40	WT
C.5	B.1.1.1.5	WT
C.6	B.1.1.1.6	WT
C.7	B.1.1.1.7	WT
C.8	B.1.1.1.8	WT
C.9	B.1.1.1.9	WT
B.1.1.10	B.1.1.10	WT
L.1	B.1.1.10.1	WT
L.2	B.1.1.10.2	WT
L.3	B.1.1.10.3	WT
B.1.1.100	B.1.1.100	WT
B.1.1.101	B.1.1.101	WT
B.1.1.107	B.1.1.107	WT
B.1.1.109	B.1.1.109	WT
B.1.1.110	B.1.1.110	WT
B.1.1.111	B.1.1.111	WT
B.1.1.112	B.1.1.112	WT
B.1.1.113	B.1.1.113	WT
B.1.1.114	B.1.1.114	WT
B.1.1.115	B.1.1.115	WT
B.1.1.116	B.1.1.116	WT
B.1.1.117	B.1.1.117	WT
B.1.1.118	B.1.1.118	WT
B.1.1.119	B.1.1.119	WT
B.1.1.12	B.1.1.12	WT
B.1.1.120	B.1.1.120	WT
B.1.1.121	B.1.1.121	WT
B.1.1.122	B.1.1.122	WT
B.1.1.123	B.1.1.123	WT
B.1.1.125	B.1.1.125	WT
B.1.1.127	B.1.1.127	WT
B.1.1.128	B.1.1.128	WT
B.1.1.129	B.1.1.129	WT
B.1.1.13	B.1.1.13	WT
B.1.1.130	B.1.1.130	WT
B.1.1.132	B.1.1.132	WT
B.1.1.133	B.1.1.133	WT
B.1.1.134	B.1.1.134	WT
B.1.1.135	B.1.1.135	WT
B.1.1.136	B.1.1.136	WT
B.1.1.137	B.1.1.137	WT
B.1.1.138	B.1.1.138	WT
B.1.1.139	B.1.1.139	WT
B.1.1.14	B.1.1.14	WT
B.1.1.141	B.1.1.141	WT
B.1.1.142	B.1.1.142	WT
B.1.1.144	B.1.1.144	WT
B.1.1.145	B.1.1.145	WT
B.1.1.147	B.1.1.147	WT
B.1.1.148	B.1.1.148	WT
B.1.1.149	B.1.1.149	WT
B.1.1.15	B.1.1.15	WT
B.1.1.152	B.1.1.152	WT
B.1.1.153	B.1.1.153	WT
B.1.1.154	B.1.1.154	WT
B.1.1.155	B.1.1.155	WT
B.1.1.157	B.1.1.157	WT
B.1.1.158	B.1.1.158	WT
B.1.1.159	B.1.1.159	WT
B.1.1.16	B.1.1.16	WT
B.1.1.160	B.1.1.160	WT
B.1.1.161	B.1.1.161	WT
B.1.1.162	B.1.1.162	WT
B.1.1.163	B.1.1.163	WT
B.1.1.164	B.1.1.164	WT
B.1.1.165	B.1.1.165	WT
B.1.1.166	B.1.1.166	WT
B.1.1.168	B.1.1.168	WT
B.1.1.169	B.1.1.169	WT
B.1.1.17	B.1.1.17	WT
B.1.1.170	B.1.1.170	WT
B.1.1.171	B.1.1.171	WT
B.1.1.172	B.1.1.172	WT
B.1.1.174	B.1.1.174	WT
B.1.1.175	B.1.1.175	WT
B.1.1.176	B.1.1.176	WT
B.1.1.177	B.1.1.177	WT
B.1.1.178	B.1.1.178	WT
B.1.1.180	B.1.1.180	WT
B.1.1.181	B.1.1.181	WT
B.1.1.182	B.1.1.182	WT
B.1.1.184	B.1.1.184	WT
B.1.1.185	B.1.1.185	WT
B.1.1.186	B.1.1.186	WT
B.1.1.187	B.1.1.187	WT
B.1.1.189	B.1.1.189	WT
B.1.1.190	B.1.1.190	WT
B.1.1.191	B.1.1.191	WT
B.1.1.192	B.1.1.192	WT
B.1.1.193	B.1.1.193	WT
B.1.1.194	B.1.1.194	WT
B.1.1.196	B.1.1.196	WT
B.1.1.197	B.1.1.197	WT
B.1.1.198	B.1.1.198	WT
B.1.1.200	B.1.1.200	WT
AN.1	B.1.1.200.1	WT
B.1.1.201	B.1.1.201	WT
B.1.1.202	B.1.1.202	WT
B.1.1.203	B.1.1.203	WT
B.1.1.204	B.1.1.204	WT
B.1.1.205	B.1.1.205	WT
B.1.1.207	B.1.1.207	WT
B.1.1.208	B.1.1.208	WT
B.1.1.209	B.1.1.209	WT
B.1.1.210	B.1.1.210	WT
B.1.1.213	B.1.1.213	WT
B.1.1.214	B.1.1.214	WT
B.1.1.216	B.1.1.216	WT
AM.1	B.1.1.216.1	WT
AM.2	B.1.1.216.2	WT
AM.3	B.1.1.216.3	WT
AM.4	B.1.1.216.4	WT
B.1.1.217	B.1.1.217	WT
S.1	B.1.1.217.1	WT
B.1.1.218	B.1.1.218	WT
B.1.1.219	B.1.1.219	WT
B.1.1.220	B.1.1.220	WT
B.1.1.221	B.1.1.221	WT
B.1.1.222	B.1.1.222	WT
B.1.1.224	B.1.1.224	WT
B.1.1.225	B.1.1.225	WT
B.1.1.226	B.1.1.226	WT
B.1.1.227	B.1.1.227	WT
B.1.1.228	B.1.1.228	WT
B.1.1.229	B.1.1.229	WT
B.1.1.230	B.1.1.230	WT
B.1.1.231	B.1.1.231	WT
AL.1	B.1.1.231.1	WT
B.1.1.232	B.1.1.232	WT
AK.1	B.1.1.232.1	WT
AK.2	B.1.1.232.2	WT
B.1.1.234	B.1.1.234	WT
B.1.1.236	B.1.1.236	WT
B.1.1.237	B.1.1.237	WT
B.1.1.239	B.1.1.239	WT
B.1.1.240	B.1.1.240	WT
AJ.1	B.1.1.240.1	WT
B.1.1.241	B.1.1.241	WT
AH.1	B.1.1.241.1	WT
AH.2	B.1.1.241.2	WT
AH.3	B.1.1.241.3	WT
B.1.1.242	B.1.1.242	WT
B.1.1.243	B.1.1.243	WT
B.1.1.244	B.1.1.244	WT
B.1.1.249	B.1.1.249	WT
B.1.1.25	B.1.1.25	WT
D.2	B.1.1.25.2	WT
D.3	B.1.1.25.3	WT
D.4	B.1.1.25.4	WT
D.5	B.1.1.25.5	WT
B.1.1.251	B.1.1.251	WT
B.1.1.253	B.1.1.253	WT
B.1.1.254	B.1.1.254	WT
B.1.1.255	B.1.1.255	WT
B.1.1.256	B.1.1.256	WT
B.1.1.257	B.1.1.257	WT
B.1.1.258	B.1.1.258	WT
B.1.1.26	B.1.1.26	WT
B.1.1.261	B.1.1.261	WT
B.1.1.262	B.1.1.262	WT
B.1.1.263	B.1.1.263	WT
B.1.1.265	B.1.1.265	WT
B.1.1.266	B.1.1.266	WT
B.1.1.267	B.1.1.267	WT
B.1.1.268	B.1.1.268	WT
B.1.1.269	B.1.1.269	WT
B.1.1.27	B.1.1.27	WT
B.1.1.270	B.1.1.270	WT
B.1.1.271	B.1.1.271	WT
B.1.1.272	B.1.1.272	WT
B.1.1.273	B.1.1.273	WT
B.1.1.274	B.1.1.274	WT
B.1.1.275	B.1.1.275	WT
B.1.1.277	B.1.1.277	WT
K.1	B.1.1.277.1	WT
K.2	B.1.1.277.2	WT
K.3	B.1.1.277.3	WT
B.1.1.279	B.1.1.279	WT
B.1.1.28	B.1.1.28	WT
P.1	B.1.1.28.1	WT
P.1.1	B.1.1.28.1.1	WT
P.1.10	B.1.1.28.1.10	WT
P.1.10.1	B.1.1.28.1.10.1	WT
P.1.10.2	B.1.1.28.1.10.2	WT
P.1.11	B.1.1.28.1.11	WT
P.1.12	B.1.1.28.1.12	WT
P.1.13	B.1.1.28.1.13	WT
P.1.14	B.1.1.28.1.14	WT
P.1.15	B.1.1.28.1.15	WT
P.1.16	B.1.1.28.1.16	WT
P.1.17	B.1.1.28.1.17	WT
P.1.17.1	B.1.1.28.1.17.1	WT
P.1.2	B.1.1.28.1.2	WT
P.1.3	B.1.1.28.1.3	WT
P.1.4	B.1.1.28.1.4	WT
P.1.5	B.1.1.28.1.5	WT
P.1.6	B.1.1.28.1.6	WT
P.1.7	B.1.1.28.1.7	WT
P.1.7.1	B.1.1.28.1.7.1	WT
P.1.8	B.1.1.28.1.8	WT
P.1.9	B.1.1.28.1.9	WT
P.2	B.1.1.28.2	WT
P.3	B.1.1.28.3	WT
P.4	B.1.1.28.4	WT
P.5	B.1.1.28.5	WT
P.6	B.1.1.28.6	WT
P.7	B.1.1.28.7	WT
B.1.1.280	B.1.1.280	WT
B.1.1.282	B.1.1.282	WT
B.1.1.283	B.1.1.283	WT
B.1.1.284	B.1.1.284	WT
B.1.1.285	B.1.1.285	WT
B.1.1.286	B.1.1.286	WT
B.1.1.288	B.1.1.288	WT
B.1.1.289	B.1.1.289	WT
B.1.1.29	B.1.1.29	WT
B.1.1.290	B.1.1.290	WT
B.1.1.291	B.1.1.291	WT
B.1.1.294	B.1.1.294	WT
M.1	B.1.1.294.1	WT
M.2	B.1.1.294.2	WT
M.3	B.1.1.294.3	WT
B.1.1.296	B.1.1.296	WT
B.1.1.297	B.1.1.297	WT
AG.1	B.1.1.297.1	WT
B.1.1.298	B.1.1.298	WT
B.1.1.299	B.1.1.299	WT
B.1.1.3	B.1.1.3	WT
B.1.1.30	B.1.1.30	WT
B.1.1.300	B.1.1.300	WT
B.1.1.301	B.1.1.301	WT
B.1.1.302	B.1.1.302	WT
B.1.1.303	B.1.1.303	WT
B.1.1.304	B.1.1.304	WT
B.1.1.305	B.1.1.305	WT
AF.1	B.1.1.305.1	WT
B.1.1.306	B.1.1.306	WT
AE.1	B.1.1.306.1	WT
AE.2	B.1.1.306.2	WT
AE.3	B.1.1.306.3	WT
AE.4	B.1.1.306.4	WT
AE.5	B.1.1.306.5	WT
AE.6	B.1.1.306.6	WT
AE.7	B.1.1.306.7	WT
AE.8	B.1.1.306.8	WT
B.1.1.307	B.1.1.307	WT
B.1.1.308	B.1.1.308	WT
B.1.1.309	B.1.1.309	WT
B.1.1.31	B.1.1.31	WT
B.1.1.310	B.1.1.310	WT
B.1.1.311	B.1.1.311	WT
B.1.1.312	B.1.1.312	WT
B.1.1.315	B.1.1.315	WT
AD.1	B.1.1.315.1	WT
AD.2	B.1.1.315.2	WT
AD.2.1	B.1.1.315.2.1	WT
B.1.1.316	B.1.1.316	WT
R.1	B.1.1.316.1	WT
R.2	B.1.1.316.2	WT
B.1.1.317	B.1.1.317	WT
AS.1	B.1.1.317.1	WT
AS.2	B.1.1.317.2	WT
B.1.1.318	B.1.1.318	WT
AZ.1	B.1.1.318.1	WT
AZ.2	B.1.1.318.2	WT
AZ.2.1	B.1.1.318.2.1	WT
AZ.3	B.1.1.318.3	WT
AZ.4	B.1.1.318.4	WT
AZ.5	B.1.1.318.5	WT
AZ.6	B.1.1.318.6	WT
B.1.1.319	B.1.1.319	WT
B.1.1.320	B.1.1.320	WT
B.1.1.322	B.1.1.322	WT
B.1.1.323	B.1.1.323	WT
B.1.1.324	B.1.1.324	WT
B.1.1.325	B.1.1.325	WT
B.1.1.326	B.1.1.326	WT
B.1.1.327	B.1.1.327	WT
B.1.1.328	B.1.1.328	WT
B.1.1.329	B.1.1.329	WT
B.1.1.33	B.1.1.33	WT
N.1	B.1.1.33.1	WT
N.10	B.1.1.33.10	WT
N.2	B.1.1.33.2	WT
N.3	B.1.1.33.3	WT
N.4	B.1.1.33.4	WT
N.5	B.1.1.33.5	WT
N.6	B.1.1.33.6	WT
N.7	B.1.1.33.7	WT
N.8	B.1.1.33.8	WT
N.9	B.1.1.33.9	WT
B.1.1.330	B.1.1.330	WT
B.1.1.331	B.1.1.331	WT
B.1.1.332	B.1.1.332	WT
B.1.1.333	B.1.1.333	WT
B.1.1.334	B.1.1.334	WT
B.1.1.335	B.1.1.335	WT
B.1.1.336	B.1.1.336	WT
B.1.1.337	B.1.1.337	WT
B.1.1.338	B.1.1.338	WT
B.1.1.339	B.1.1.339	WT
B.1.1.34	B.1.1.34	WT
B.1.1.340	B.1.1.340	WT
B.1.1.341	B.1.1.341	WT
B.1.1.342	B.1.1.342	WT
B.1.1.343	B.1.1.343	WT
B.1.1.344	B.1.1.344	WT
B.1.1.345	B.1.1.345	WT
B.1.1.346	B.1.1.346	WT
B.1.1.347	B.1.1.347	WT
B.1.1.348	B.1.1.348	WT
B.1.1.349	B.1.1.349	WT
B.1.1.350	B.1.1.350	WT
B.1.1.351	B.1.1.351	WT
B.1.1.352	B.1.1.352	WT
B.1.1.353	B.1.1.353	WT
B.1.1.354	B.1.1.354	WT
B.1.1.355	B.1.1.355	WT
B.1.1.356	B.1.1.356	WT
B.1.1.357	B.1.1.357	WT
B.1.1.358	B.1.1.358	WT
B.1.1.359	B.1.1.359	WT
B.1.1.360	B.1.1.360	WT
B.1.1.361	B.1.1.361	WT
B.1.1.362	B.1.1.362	WT
B.1.1.363	B.1.1.363	WT
B.1.1.364	B.1.1.364	WT
B.1.1.365	B.1.1.365	WT
B.1.1.366	B.1.1.366	WT
B.1.1.367	B.1.1.367	WT
B.1.1.368	B.1.1.368	WT
B.1.1.369	B.1.1.369	WT
B.1.1.37	B.1.1.37	WT
B.1.1.370	B.1.1.370	WT
AT.1	B.1.1.370.1	WT
B.1.1.371	B.1.1.371	WT
B.1.1.372	B.1.1.372	WT
B.1.1.373	B.1.1.373	WT
B.1.1.374	B.1.1.374	WT
B.1.1.375	B.1.1.375	WT
B.1.1.376	B.1.1.376	WT
B.1.1.377	B.1.1.377	WT
B.1.1.378	B.1.1.378	WT
B.1.1.379	B.1.1.379	WT
B.1.1.38	B.1.1.38	WT
B.1.1.380	B.1.1.380	WT
B.1.1.381	B.1.1.381	WT
B.1.1.382	B.1.1.382	WT
B.1.1.383	B.1.1.383	WT
B.1.1.384	B.1.1.384	WT
B.1.1.385	B.1.1.385	WT
B.1.1.386	B.1.1.386	WT
B.1.1.387	B.1.1.387	WT
B.1.1.388	B.1.1.388	WT
B.1.1.389	B.1.1.389	WT
B.1.1.39	B.1.1.39	WT
AQ.1	B.1.1.39.1	WT
AQ.2	B.1.1.39.2	WT
B.1.1.391	B.1.1.391	WT
B.1.1.392	B.1.1.392	WT
B.1.1.393	B.1.1.393	WT
B.1.1.394	B.1.1.394	WT
B.1.1.395	B.1.1.395	WT
B.1.1.396	B.1.1.396	WT
B.1.1.397	B.1.1.397	WT
B.1.1.398	B.1.1.398	WT
B.1.1.399	B.1.1.399	WT
B.1.1.4	B.1.1.4	WT
B.1.1.40	B.1.1.40	WT
B.1.1.400	B.1.1.400	WT
B.1.1.401	B.1.1.401	WT
B.1.1.402	B.1.1.402	WT
B.1.1.403	B.1.1.403	WT
B.1.1.404	B.1.1.404	WT
B.1.1.405	B.1.1.405	WT
AC.1	B.1.1.405.1	WT
B.1.1.406	B.1.1.406	WT
B.1.1.407	B.1.1.407	WT
B.1.1.408	B.1.1.408	WT
B.1.1.409	B.1.1.409	WT
B.1.1.41	B.1.1.41	WT
B.1.1.410	B.1.1.410	WT
B.1.1.411	B.1.1.411	WT
B.1.1.412	B.1.1.412	WT
B.1.1.413	B.1.1.413	WT
B.1.1.414	B.1.1.414	WT
B.1.1.415	B.1.1.415	WT
B.1.1.416	B.1.1.416	WT
B.1.1.417	B.1.1.417	WT
B.1.1.418	B.1.1.418	WT
B.1.1.419	B.1.1.419	WT
B.1.1.420	B.1.1.420	WT
