Point	X	Y	VOC	RelativeDate
WT_2020-11-29	-4.578080913	-0.716406751	WT	301
WT_2020-12-06	-4.566152242	-0.708904353	WT	308
WT_2020-12-13	-4.593838293	-0.701183768	WT	315
WT_2020-12-20	-4.602459684	-0.699739202	WT	322
WT_2020-12-27	-4.594871365	-0.716195023	WT	329
WT_2021-01-03	-4.586931224	-0.711709611	WT	336
WT_2021-01-10	-4.596793882	-0.693424181	WT	343
WT_2021-01-17	-4.604629876	-0.688421051	WT	350
WT_2021-01-24	-4.61575372	-0.690102698	WT	357
WT_2021-01-31	-4.624915021	-0.70935022	WT	364
WT_2021-02-07	-4.647563856	-0.715347211	WT	371
WT_2021-02-14	-4.641197012	-0.735967187	WT	378
WT_2021-02-21	-4.661721536	-0.736763066	WT	385
WT_2021-02-28	-4.705925607	-0.737248334	WT	392
WT_2021-03-07	-4.721637165	-0.73893572	WT	399
WT_2021-03-14	-4.769371587	-0.754388485	WT	406
WT_2021-03-21	-4.834641916	-0.748854888	WT	413
WT_2021-03-28	-4.952998975	-0.770409615	WT	420
WT_2021-04-04	-4.961384391	-0.76898965	WT	427
WT_2021-04-11	-5.09185448	-0.786203126	WT	434
WT_2021-04-18	-5.113857686	-0.783271657	WT	441
WT_2021-04-25	-5.188854401	-0.810801018	WT	448
WT_2021-05-02	-5.233505098	-0.829673879	WT	455
WT_2021-05-09	-5.210120684	-0.82731939	WT	462
WT_2021-05-16	-5.303795989	-0.856410963	WT	469
WT_2021-05-23	-5.377177174	-0.874979344	WT	476
WT_2021-05-30	-5.380514132	-0.879344717	WT	483
WT_2021-06-06	-5.424926854	-0.908003657	WT	490
WT_2021-06-13	-5.46420729	-0.907701249	WT	497
WT_2021-06-20	-5.401640418	-0.880534996	WT	504
WT_2021-06-27	-5.440291679	-0.871637772	WT	511
WT_2021-07-04	-5.511994288	-0.880190217	WT	518
WT_2021-07-11	-5.470218395	-0.862194786	WT	525
WT_2021-07-18	-5.315771506	-0.851384103	WT	532
WT_2021-07-25	-5.466037767	-0.839206553	WT	539
WT_2021-08-01	-5.420340341	-0.830379498	WT	546
WT_2021-08-08	-4.948000675	-0.764060174	WT	553
WT_2021-08-15	-5.17582357	-0.834260707	WT	560
WT_2021-08-22	-4.857324861	-0.15999166	WT	567
WT_2021-08-29	-5.46464673	-0.867326622	WT	574
WT_2021-09-05	-5.454147585	-0.861486287	WT	581
WT_2021-09-12	-5.43190579	-0.864725438	WT	588
WT_2021-09-19	-5.328115062	-0.758837811	WT	595
Alpha_2020-11-15	-4.479188023	-0.739368143	Alpha	287
Alpha_2020-11-22	-4.476980436	-0.72419011	Alpha	294
Alpha_2020-11-29	-4.478459543	-0.72387203	Alpha	301
Alpha_2020-12-06	-4.479172251	-0.721030826	Alpha	308
Alpha_2020-12-13	-4.471810497	-0.724646963	Alpha	315
Alpha_2020-12-20	-4.471769515	-0.726391917	Alpha	322
Alpha_2020-12-27	-4.476732603	-0.732711144	Alpha	329
Alpha_2021-01-03	-4.477051441	-0.728976053	Alpha	336
Alpha_2021-01-10	-4.484915725	-0.731682825	Alpha	343
Alpha_2021-01-17	-4.492695865	-0.732231006	Alpha	350
Alpha_2021-01-24	-4.494276617	-0.732582377	Alpha	357
Alpha_2021-01-31	-4.489173796	-0.734871552	Alpha	364
Alpha_2021-02-07	-4.482559426	-0.732639883	Alpha	371
Alpha_2021-02-14	-4.482048452	-0.732369006	Alpha	378
Alpha_2021-02-21	-4.483431135	-0.730346781	Alpha	385
Alpha_2021-02-28	-4.491222545	-0.730942876	Alpha	392
Alpha_2021-03-07	-4.491490883	-0.732847806	Alpha	399
Alpha_2021-03-14	-4.492564146	-0.735965018	Alpha	406
Alpha_2021-03-21	-4.493630992	-0.737127498	Alpha	413
Alpha_2021-03-28	-4.497001847	-0.738739088	Alpha	420
Alpha_2021-04-04	-4.50112329	-0.740421313	Alpha	427
Alpha_2021-04-11	-4.502245657	-0.743672367	Alpha	434
Alpha_2021-04-18	-4.506127921	-0.745772997	Alpha	441
Alpha_2021-04-25	-4.507109892	-0.747641758	Alpha	448
Alpha_2021-05-02	-4.507516911	-0.747367489	Alpha	455
Alpha_2021-05-09	-4.508979724	-0.746239233	Alpha	462
Alpha_2021-05-16	-4.510414738	-0.743260835	Alpha	469
Alpha_2021-05-23	-4.51334328	-0.741567763	Alpha	476
Alpha_2021-05-30	-4.518398928	-0.737311729	Alpha	483
Alpha_2021-06-06	-4.518443659	-0.733874711	Alpha	490
Alpha_2021-06-13	-4.52675545	-0.745633759	Alpha	497
Alpha_2021-06-20	-4.528908353	-0.7444698	Alpha	504
Alpha_2021-06-27	-4.533079522	-0.747189013	Alpha	511
Alpha_2021-07-04	-4.536269678	-0.741584199	Alpha	518
Alpha_2021-07-11	-4.542965184	-0.739004656	Alpha	525
Alpha_2021-07-18	-4.537418284	-0.738651469	Alpha	532
Alpha_2021-07-25	-4.530878313	-0.751133926	Alpha	539
Alpha_2021-08-01	-4.525779884	-0.739447274	Alpha	546
Alpha_2021-08-08	-4.525778778	-0.746954006	Alpha	553
Alpha_2021-08-15	-4.540177804	-0.774763053	Alpha	560
Alpha_2021-08-22	-4.569553776	-0.746952482	Alpha	567
Delta_2021-03-14	-5.150692294	0.604405358	Delta	406
Delta_2021-03-21	-4.893411466	0.470521077	Delta	413
Delta_2021-03-28	-4.868115746	0.470968576	Delta	420
Delta_2021-04-04	-4.866823233	0.462618364	Delta	427
Delta_2021-04-11	-4.845905363	0.441789834	Delta	434
Delta_2021-04-18	-4.899167302	0.469314732	Delta	441
Delta_2021-04-25	-4.81072813	0.445619572	Delta	448
Delta_2021-05-02	-4.802433633	0.45051047	Delta	455
Delta_2021-05-09	-4.817428067	0.464086563	Delta	462
Delta_2021-05-16	-4.827468563	0.498646411	Delta	469
Delta_2021-05-23	-4.777850216	0.499237886	Delta	476
Delta_2021-05-30	-4.764397942	0.508561027	Delta	483
Delta_2021-06-06	-4.77561622	0.507142519	Delta	490
Delta_2021-06-13	-4.781381086	0.500342566	Delta	497
Delta_2021-06-20	-4.781487614	0.4832751	Delta	504
Delta_2021-06-27	-4.807733589	0.498963336	Delta	511
Delta_2021-07-04	-4.796249343	0.493054055	Delta	518
Delta_2021-07-11	-4.774488244	0.476713436	Delta	525
Delta_2021-07-18	-4.808963349	0.479359373	Delta	532
Delta_2021-07-25	-4.821881132	0.483688862	Delta	539
Delta_2021-08-01	-4.815360364	0.483033218	Delta	546
Delta_2021-08-08	-4.816671416	0.479412614	Delta	553
Delta_2021-08-15	-4.778053308	0.469769627	Delta	560
Delta_2021-08-22	-4.755917879	0.458880842	Delta	567
Delta_2021-08-29	-4.806158084	0.479717289	Delta	574
Delta_2021-09-05	-4.811783092	0.475571511	Delta	581
Delta_2021-09-12	-4.826062702	0.475427125	Delta	588
Delta_2021-09-19	-4.824719598	0.472197261	Delta	595
Delta_2021-09-26	-4.826805894	0.472724967	Delta	602
Delta_2021-10-03	-4.83080025	0.47079796	Delta	609
Delta_2021-10-10	-4.829617036	0.467591064	Delta	616
Delta_2021-10-17	-4.823387284	0.463673239	Delta	623
Delta_2021-10-24	-4.824217842	0.470247809	Delta	630
Delta_2021-10-31	-4.816676247	0.467196097	Delta	637
Delta_2021-11-07	-4.814301237	0.463171974	Delta	644
Delta_2021-11-14	-4.793795459	0.45680615	Delta	651
Delta_2021-11-21	-4.79899315	0.458669915	Delta	658
Delta_2021-11-28	-4.81419711	0.465121354	Delta	665
Delta_2021-12-05	-4.815557398	0.462103845	Delta	672
Delta_2021-12-12	-4.813635417	0.46109795	Delta	679
Delta_2021-12-19	-4.80355313	0.44759585	Delta	686
Delta_2021-12-26	-4.80662206	0.446110056	Delta	693
Delta_2022-01-02	-4.796372907	0.448578052	Delta	700
Delta_2022-01-09	-4.782602557	0.445662602	Delta	707
Delta_2022-01-16	-4.774806556	0.454670274	Delta	714
Delta_2022-01-23	-4.802811795	0.45529239	Delta	721
Delta_2022-01-30	-4.806663129	0.460516753	Delta	728
Delta_2022-02-06	-4.818386922	0.474044086	Delta	735
BA.1_2021-11-28	0.487659126	1.718227933	BA.1	665
BA.1_2021-12-05	0.426098895	1.732719105	BA.1	672
BA.1_2021-12-12	0.420989879	1.76382672	BA.1	679
BA.1_2021-12-19	0.425657043	1.765909311	BA.1	686
BA.1_2021-12-26	0.455022673	1.792701148	BA.1	693
BA.1_2022-01-02	0.403370358	1.778387895	BA.1	700
BA.1_2022-01-09	0.44967971	1.817273978	BA.1	707
BA.1_2022-01-16	0.521793608	1.825723514	BA.1	714
BA.1_2022-01-23	0.493986873	1.845066895	BA.1	721
BA.1_2022-01-30	0.471350782	1.857839638	BA.1	728
BA.1_2022-02-06	0.498701369	1.855814521	BA.1	735
BA.1_2022-02-13	0.506713936	1.863023035	BA.1	742
BA.1_2022-02-20	0.519023189	1.871695275	BA.1	749
BA.1_2022-02-27	0.515835674	1.879416711	BA.1	756
BA.1_2022-03-06	0.52734101	1.885195392	BA.1	763
BA.1_2022-03-13	0.534360264	1.886108753	BA.1	770
BA.1_2022-03-20	0.537117208	1.893625903	BA.1	777
BA.1_2022-03-27	0.547053091	1.900558797	BA.1	784
BA.1_2022-04-03	0.553484505	1.905585506	BA.1	791
BA.1_2022-04-10	0.547500875	1.920218173	BA.1	798
BA.1_2022-04-17	0.543493639	1.923509659	BA.1	805
BA.1_2022-04-24	0.542767445	1.940950322	BA.1	812
BA.1_2022-05-01	0.554180889	1.944712384	BA.1	819
BA.1_2022-05-08	0.555999094	1.962638391	BA.1	826
BA.1_2022-05-15	0.540929484	1.880567211	BA.1	833
BA.2_2021-12-19	1.646214735	1.751310211	BA.2	686
BA.2_2021-12-26	1.776217035	1.629162128	BA.2	693
BA.2_2022-01-02	1.976180922	1.372151848	BA.2	700
BA.2_2022-01-09	2.019441208	1.257856502	BA.2	707
BA.2_2022-01-16	2.16949761	1.23576192	BA.2	714
BA.2_2022-01-23	2.220602564	1.202081033	BA.2	721
BA.2_2022-01-30	2.219584407	1.181815149	BA.2	728
BA.2_2022-02-06	2.21173605	1.157242129	BA.2	735
BA.2_2022-02-13	2.192292451	1.142963488	BA.2	742
BA.2_2022-02-20	2.226125217	1.157201317	BA.2	749
BA.2_2022-02-27	2.225357334	1.157576299	BA.2	756
BA.2_2022-03-06	2.240810493	1.159375402	BA.2	763
BA.2_2022-03-13	2.240798351	1.160116774	BA.2	770
BA.2_2022-03-20	2.243127705	1.160910713	BA.2	777
BA.2_2022-03-27	2.249093486	1.162892484	BA.2	784
BA.2_2022-04-03	2.249219532	1.165149675	BA.2	791
BA.2_2022-04-10	2.246403942	1.171319338	BA.2	798
BA.2_2022-04-17	2.25059661	1.181467524	BA.2	805
BA.2_2022-04-24	2.259595354	1.192422157	BA.2	812
BA.2_2022-05-01	2.268967324	1.22196328	BA.2	819
BA.2_2022-05-08	2.283046564	1.255989413	BA.2	826
BA.2_2022-05-15	2.29563286	1.287461027	BA.2	833
BA.2_2022-05-22	2.311029949	1.324277891	BA.2	840
BA.2_2022-05-29	2.333053977	1.359187332	BA.2	847
BA.2_2022-06-05	2.328067893	1.381914317	BA.2	854
BA.2_2022-06-12	2.34823796	1.407204808	BA.2	861
BA.2_2022-06-19	2.354671459	1.402144967	BA.2	868
BA.2_2022-06-26	2.351606006	1.403901663	BA.2	875
BA.2_2022-07-03	2.355958836	1.4153516	BA.2	882
BA.2_2022-07-10	2.353438024	1.400613848	BA.2	889
BA.2_2022-07-17	2.361622142	1.398389394	BA.2	896
BA.2_2022-07-24	2.406795024	1.406322621	BA.2	903
BA.2_2022-07-31	2.463486606	1.405514954	BA.2	910
BA.2_2022-08-07	2.561914296	1.413726442	BA.2	917
BA.2_2022-08-14	2.824442718	1.416356329	BA.2	924
BA.2_2022-08-21	3.074985081	1.392014241	BA.2	931
BA.2_2022-08-28	3.371604444	1.304476109	BA.2	938
BA.2_2022-09-04	3.592488019	1.223288234	BA.2	945
BA.2_2022-09-11	3.664947246	1.217911791	BA.2	952
BA.2_2022-09-18	3.958616201	1.166947335	BA.2	959
BA.2_2022-09-25	4.080475166	1.107129095	BA.2	966
BA.2_2022-10-02	4.052004056	1.109410383	BA.2	973
BA.2_2022-10-09	4.074010126	1.164503491	BA.2	980
BA.2_2022-10-16	4.154901551	1.182887694	BA.2	987
BA.2_2022-10-23	4.208283232	1.120197486	BA.2	994
BA.2_2022-10-30	4.266443455	1.079198482	BA.2	1001
BA.2_2022-11-06	4.353244433	1.078466374	BA.2	1008
BA.2_2022-11-13	4.382110428	1.080567912	BA.2	1015
BA.2_2022-11-20	4.437033484	1.021848152	BA.2	1022
BA.2_2022-11-27	4.503414107	1.044468954	BA.2	1029
BA.2_2022-12-04	4.535713493	1.031345083	BA.2	1036
BA.2_2022-12-11	4.532985845	1.080419217	BA.2	1043
BA.2_2022-12-18	4.557676729	1.133446717	BA.2	1050
BA.2_2022-12-25	4.601948649	1.130896186	BA.2	1057
BA.2_2023-01-01	4.655801595	1.143116581	BA.2	1064
BA.2_2023-01-08	4.654134546	1.223267304	BA.2	1071
BA.2_2023-01-15	4.656541174	1.180161865	BA.2	1078
BA.2_2023-01-22	4.678042124	1.181350255	BA.2	1085
BA.2_2023-01-29	4.686797545	1.19883719	BA.2	1092
BA.2_2023-02-05	4.7111055	1.253247393	BA.2	1099
BA.2_2023-02-12	4.736815723	1.275587996	BA.2	1106
BA.2_2023-02-19	4.73745071	1.300343431	BA.2	1113
BA.2_2023-02-26	4.75230394	1.249173792	BA.2	1120
BA.2_2023-03-05	4.765081459	1.240383861	BA.2	1127
BA.2_2023-03-12	4.786280187	1.480666848	BA.2	1134
BA.2_2023-03-19	4.786938543	1.314071126	BA.2	1141
BA.2_2023-03-26	4.780648913	1.197546351	BA.2	1148
BA.2_2023-04-02	4.810503325	1.331372741	BA.2	1155
BA.2_2023-04-09	4.813074787	1.365725637	BA.2	1162
BA.2_2023-04-16	4.848045047	1.445215814	BA.2	1169
BA.2_2023-04-23	4.792156033	1.432473589	BA.2	1176
BA.2_2023-04-30	4.870887004	1.629882957	BA.2	1183
BA.4/5_2022-04-17	2.222488598	1.603600978	BA.4/5	805
BA.4/5_2022-04-24	2.269569122	1.631871178	BA.4/5	812
BA.4/5_2022-05-01	2.21280733	1.603536187	BA.4/5	819
BA.4/5_2022-05-08	2.234445862	1.601524494	BA.4/5	826
BA.4/5_2022-05-15	2.251327398	1.587726729	BA.4/5	833
BA.4/5_2022-05-22	2.247395168	1.583370318	BA.4/5	840
BA.4/5_2022-05-29	2.252002715	1.576002114	BA.4/5	847
BA.4/5_2022-06-05	2.241481925	1.566933008	BA.4/5	854
BA.4/5_2022-06-12	2.254956103	1.567943015	BA.4/5	861
BA.4/5_2022-06-19	2.246625879	1.547727776	BA.4/5	868
BA.4/5_2022-06-26	2.240185598	1.538461275	BA.4/5	875
BA.4/5_2022-07-03	2.233562988	1.53376304	BA.4/5	882
BA.4/5_2022-07-10	2.234323686	1.533185324	BA.4/5	889
BA.4/5_2022-07-17	2.232388623	1.529828359	BA.4/5	896
BA.4/5_2022-07-24	2.23519236	1.523960667	BA.4/5	903
BA.4/5_2022-07-31	2.2362412	1.520959354	BA.4/5	910
BA.4/5_2022-08-07	2.251232947	1.522763135	BA.4/5	917
BA.4/5_2022-08-14	2.262751032	1.52376473	BA.4/5	924
BA.4/5_2022-08-21	2.269323844	1.520602077	BA.4/5	931
BA.4/5_2022-08-28	2.272483782	1.519893585	BA.4/5	938
BA.4/5_2022-09-04	2.287869696	1.522672085	BA.4/5	945
BA.4/5_2022-09-11	2.290049662	1.522740555	BA.4/5	952
BA.4/5_2022-09-18	2.310860473	1.525089683	BA.4/5	959
BA.4/5_2022-09-25	2.327105573	1.529260703	BA.4/5	966
BA.4/5_2022-10-02	2.336602185	1.523870197	BA.4/5	973
BA.4/5_2022-10-09	2.349048888	1.519243495	BA.4/5	980
BA.4/5_2022-10-16	2.370826042	1.518982372	BA.4/5	987
BA.4/5_2022-10-23	2.374065125	1.51490606	BA.4/5	994
BA.4/5_2022-10-30	2.399170451	1.51972399	BA.4/5	1001
BA.4/5_2022-11-06	2.418100634	1.52483973	BA.4/5	1008
BA.4/5_2022-11-13	2.431557879	1.535497945	BA.4/5	1015
BA.4/5_2022-11-20	2.443851435	1.535076153	BA.4/5	1022
BA.4/5_2022-11-27	2.46375296	1.534811296	BA.4/5	1029
BA.4/5_2022-12-04	2.49140364	1.531605409	BA.4/5	1036
BA.4/5_2022-12-11	2.494373118	1.527422443	BA.4/5	1043
BA.4/5_2022-12-18	2.505281761	1.522808834	BA.4/5	1050
BA.4/5_2022-12-25	2.524381653	1.523867358	BA.4/5	1057
BA.4/5_2023-01-01	2.552273217	1.532766616	BA.4/5	1064
BA.4/5_2023-01-08	2.552543951	1.529179909	BA.4/5	1071
BA.4/5_2023-01-15	2.572941673	1.537043351	BA.4/5	1078
BA.4/5_2023-01-22	2.576654862	1.527632728	BA.4/5	1085
BA.4/5_2023-01-29	2.584658738	1.558011143	BA.4/5	1092
BA.4/5_2023-02-05	2.600714265	1.549004492	BA.4/5	1099
BA.4/5_2023-02-12	2.634319737	1.544766396	BA.4/5	1106
BA.4/5_2023-02-19	2.643871401	1.544346168	BA.4/5	1113
BA.4/5_2023-02-26	2.658434974	1.551547405	BA.4/5	1120
BA.4/5_2023-03-05	2.652094629	1.537038327	BA.4/5	1127
BA.4/5_2023-03-12	2.676674925	1.530675108	BA.4/5	1134
BQ.1_2022-09-11	2.937439413	1.697590616	BQ.1	952
BQ.1_2022-09-18	2.923920555	1.671403865	BQ.1	959
BQ.1_2022-09-25	2.978052314	1.664869806	BQ.1	966
BQ.1_2022-10-02	3.017659566	1.640938392	BQ.1	973
BQ.1_2022-10-09	3.01692405	1.639595138	BQ.1	980
BQ.1_2022-10-16	3.013631592	1.633956702	BQ.1	987
BQ.1_2022-10-23	3.035308802	1.613341547	BQ.1	994
BQ.1_2022-10-30	3.023155414	1.619624361	BQ.1	1001
BQ.1_2022-11-06	3.028700942	1.617307046	BQ.1	1008
BQ.1_2022-11-13	3.042483357	1.60855714	BQ.1	1015
BQ.1_2022-11-20	3.035337198	1.607586603	BQ.1	1022
BQ.1_2022-11-27	3.056264546	1.60159998	BQ.1	1029
BQ.1_2022-12-04	3.065040684	1.593732898	BQ.1	1036
BQ.1_2022-12-11	3.078846242	1.591963536	BQ.1	1043
BQ.1_2022-12-18	3.092275298	1.581805733	BQ.1	1050
BQ.1_2022-12-25	3.11072485	1.583309135	BQ.1	1057
BQ.1_2023-01-01	3.123592968	1.58830111	BQ.1	1064
BQ.1_2023-01-08	3.141793986	1.586674883	BQ.1	1071
BQ.1_2023-01-15	3.149947281	1.586841461	BQ.1	1078
BQ.1_2023-01-22	3.159762963	1.593237354	BQ.1	1085
BQ.1_2023-01-29	3.16896216	1.593046476	BQ.1	1092
BQ.1_2023-02-05	3.178001041	1.596105358	BQ.1	1099
BQ.1_2023-02-12	3.189986277	1.601851246	BQ.1	1106
BQ.1_2023-02-19	3.202507607	1.613418525	BQ.1	1113
BQ.1_2023-02-26	3.226253019	1.606426187	BQ.1	1120
BQ.1_2023-03-05	3.233864252	1.619221464	BQ.1	1127
BQ.1_2023-03-12	3.25662832	1.640448915	BQ.1	1134
BQ.1_2023-03-19	3.260101742	1.666687274	BQ.1	1141
BQ.1_2023-03-26	3.290253758	1.673866138	BQ.1	1148
BQ.1_2023-04-02	3.28461594	1.66790025	BQ.1	1155
XBB_2022-10-02	4.861076612	-2.265362763	XBB	973
XBB_2022-10-09	4.843337944	-2.243601058	XBB	980
XBB_2022-10-16	4.87503883	-2.229384258	XBB	987
XBB_2022-10-23	4.918773725	-2.210356088	XBB	994
XBB_2022-10-30	4.90659465	-2.210813825	XBB	1001
XBB_2022-11-06	4.929832288	-2.225319186	XBB	1008
XBB_2022-11-13	4.912135269	-2.214923243	XBB	1015
XBB_2022-11-20	4.930426682	-2.252968333	XBB	1022
XBB_2022-11-27	4.940006176	-2.219577777	XBB	1029
XBB_2022-12-04	4.957396689	-2.246288181	XBB	1036
XBB_2022-12-11	4.970486621	-2.245000367	XBB	1043
XBB_2022-12-18	4.956751182	-2.275346704	XBB	1050
XBB_2022-12-25	4.97498561	-2.290294508	XBB	1057
XBB_2023-01-01	4.972764273	-2.314192616	XBB	1064
XBB_2023-01-08	4.963613319	-2.346211431	XBB	1071
XBB_2023-01-15	4.978299573	-2.351027985	XBB	1078
XBB_2023-01-22	4.9719981	-2.3640499	XBB	1085
XBB_2023-01-29	4.958883569	-2.37052734	XBB	1092
XBB_2023-02-05	4.937382764	-2.382827847	XBB	1099
XBB_2023-02-12	4.94031434	-2.389274639	XBB	1106
XBB_2023-02-19	4.948134598	-2.39588533	XBB	1113
XBB_2023-02-26	4.94948263	-2.406316246	XBB	1120
XBB_2023-03-05	4.954347725	-2.411690787	XBB	1127
XBB_2023-03-12	4.964936106	-2.423571813	XBB	1134
XBB_2023-03-19	4.959482369	-2.452560506	XBB	1141
XBB_2023-03-26	4.967748215	-2.479928463	XBB	1148
XBB_2023-04-02	4.983401895	-2.522571225	XBB	1155
XBB_2023-04-09	5.007832831	-2.54823441	XBB	1162
XBB_2023-04-16	5.027336011	-2.58155708	XBB	1169
XBB_2023-04-23	5.036575885	-2.598823009	XBB	1176
XBB_2023-04-30	5.058704748	-2.640270938	XBB	1183
XBB_2023-05-07	5.067178215	-2.678302832	XBB	1190
XBB_2023-05-14	5.078699931	-2.713283822	XBB	1197
XBB_2023-05-21	5.082208925	-2.772537782	XBB	1204
XBB_2023-05-28	5.089493056	-2.830690103	XBB	1211
XBB_2023-06-04	5.107859994	-2.855038583	XBB	1218
XBB_2023-06-11	5.1191494	-2.89401115	XBB	1225
XBB_2023-06-18	5.136832479	-2.915246314	XBB	1232
XBB_2023-06-25	5.158121655	-2.944191	XBB	1239
XBB_2023-07-02	5.182151256	-2.975938961	XBB	1246
XBB_2023-07-09	5.195577215	-3.006597479	XBB	1253
XBB_2023-07-16	5.209179505	-3.025796633	XBB	1260
XBB_2023-07-23	5.229548273	-3.051187241	XBB	1267
XBB_2023-07-30	5.253573262	-3.070235268	XBB	1274
XBB_2023-08-06	5.263006876	-3.101542768	XBB	1281
XBB_2023-08-13	5.272022963	-3.128761174	XBB	1288
XBB_2023-08-20	5.279036019	-3.12234489	XBB	1295
XBB_2023-08-27	5.301530988	-3.133588849	XBB	1302
XBB_2023-09-03	5.309494366	-3.149316369	XBB	1309
XBB_2023-09-10	5.329508242	-3.164018597	XBB	1316
XBB_2023-09-17	5.354226083	-3.137955189	XBB	1323
XBB_2023-09-24	5.378639626	-3.124203926	XBB	1330
XBB_2023-10-01	5.403710613	-3.135937849	XBB	1337
XBB_2023-10-08	5.426774957	-3.100995701	XBB	1344
XBB_2023-10-15	5.45086043	-3.082979212	XBB	1351
XBB_2023-10-22	5.46263486	-3.03432104	XBB	1358
XBB_2023-10-29	5.486132521	-3.03802819	XBB	1365
XBB_2023-11-05	5.52188371	-2.974061293	XBB	1372
XBB_2023-11-12	5.531724847	-2.961636298	XBB	1379
XBB_2023-11-19	5.549407388	-2.927021805	XBB	1386
XBB_2023-11-26	5.568870013	-2.904366417	XBB	1393
XBB_2023-12-03	5.597696671	-2.885255761	XBB	1400
XBB_2023-12-10	5.62068707	-2.89464939	XBB	1407
XBB_2023-12-17	5.649072049	-2.877205278	XBB	1414
XBB_2023-12-24	5.64856383	-2.826886402	XBB	1421
XBB_2023-12-31	5.667567081	-2.813431989	XBB	1428
XBB_2024-01-07	5.686438584	-2.848980004	XBB	1435
XBB_2024-01-14	5.687176779	-2.853438884	XBB	1442
XBB_2024-01-21	5.704555975	-2.892590474	XBB	1449
XBB_2024-01-28	5.708927495	-2.878924471	XBB	1456
